trace	state	block	B	Delta_prep	P	R	theta	|B|
100	4	2	-1	-1.5	1.0	1.0	-1	1B
101	5	2	-1	1.5	1.0	1.0	-1	1B
102	6	2	-1	1.5	1.0	1.0	-1	1B
103	7	2	-1	0.3	1.0	1.0	-1	1B
104	8	2	-1	0.9	1.0	1.0	-1	1B
105	9	2	-1	-0.3	1.0	1.0	-1	1B
106	10	2	-1	-0.9	1.0	1.0	-1	1B
107	11	2	-1	-1.5	1.0	1.0	-1	1B
108	12	2	-1	0.3	1.0	1.0	1	1B
109	13	2	-1	1.5	1.0	1.0	1	1B
110	14	2	-1	-0.3	1.0	1.0	1	1B
111	15	2	-1	0.9	1.0	1.0	1	1B
112	16	2	-1	-1.5	1.0	1.0	1	1B
113	17	2	-1	-0.9	1.0	1.0	1	1B
114	18	2	-1	-0.3	1.0	1.0	1	1B
115	19	2	-1	0.9	1.0	1.0	1	1B
116	20	2	-1	-1.5	1.0	1.0	1	1B
117	21	2	-1	-0.9	1.0	1.0	1	1B
118	22	2	-1	0.3	1.0	1.0	1	1B
119	23	2	-1	1.5	1.0	1.0	1	1B
120	24	2	1	-1.5	1.0	1.0	1	1B
121	25	2	1	0.3	1.0	1.0	1	1B
122	26	2	1	-0.9	1.0	1.0	1	1B
123	27	2	1	1.5	1.0	1.0	1	1B
124	28	2	1	0.9	1.0	1.0	1	1B
125	29	2	1	-0.3	1.0	1.0	1	1B
126	30	2	1	0.3	1.0	1.0	-1	1B
127	31	2	1	-0.3	1.0	1.0	-1	1B
128	32	2	1	-1.5	1.0	1.0	-1	1B
129	33	2	1	-0.9	1.0	1.0	-1	1B
130	34	2	1	1.5	1.0	1.0	-1	1B
131	35	2	1	0.9	1.0	1.0	-1	1B
132	36	2	1	0.3	1.0	1.0	1	1B
133	37	2	1	0.9	1.0	1.0	1	1B
134	38	2	1	1.5	1.0	1.0	1	1B
135	39	2	1	-0.3	1.0	1.0	1	1B
136	40	2	1	-1.5	1.0	1.0	1	1B
