trace	state	block	B	Delta_prep	P	R	theta	|B|
501	21	10	-1	-1.5	1.0	-1.0	-1	0B
502	22	10	-1	-0.3	1.0	-1.0	-1	0B
503	23	10	-1	0.3	1.0	-1.0	-1	0B
504	24	10	1	0.9	1.0	-1.0	-1	0B
505	25	10	1	-0.9	1.0	-1.0	-1	0B
506	26	10	1	-1.5	1.0	-1.0	-1	0B
507	27	10	1	0.3	1.0	-1.0	-1	0B
508	28	10	1	-0.3	1.0	-1.0	-1	0B
509	29	10	1	1.5	1.0	-1.0	-1	0B
510	30	10	1	-1.5	1.0	-1.0	1	0B
511	31	10	1	-0.9	1.0	-1.0	1	0B
512	32	10	1	0.3	1.0	-1.0	1	0B
513	33	10	1	1.5	1.0	-1.0	1	0B
514	34	10	1	0.9	1.0	-1.0	1	0B
515	35	10	1	-0.3	1.0	-1.0	1	0B
516	36	10	1	-1.5	1.0	-1.0	1	0B
517	37	10	1	0.3	1.0	-1.0	1	0B
518	38	10	1	0.9	1.0	-1.0	1	0B
519	39	10	1	-0.3	1.0	-1.0	1	0B
520	40	10	1	-0.9	1.0	-1.0	1	0B
521	41	10	1	1.5	1.0	-1.0	1	0B
522	42	10	1	0.9	1.0	-1.0	-1	0B
523	43	10	1	-0.3	1.0	-1.0	-1	0B
524	44	10	1	-1.5	1.0	-1.0	-1	0B
525	45	10	1	0.3	1.0	-1.0	-1	0B
526	46	10	1	1.5	1.0	-1.0	-1	0B
527	47	10	1	-0.9	1.0	-1.0	-1	0B
528	0	11	1	0.3	1.0	1.0	-1	0B
529	1	11	1	-0.3	1.0	1.0	-1	0B
530	2	11	1	-0.9	1.0	1.0	-1	0B
531	3	11	1	-1.5	1.0	1.0	-1	0B
532	4	11	1	1.5	1.0	1.0	-1	0B
533	5	11	1	0.9	1.0	1.0	-1	0B
534	6	11	1	0.9	1.0	1.0	1	0B
535	7	11	1	-0.3	1.0	1.0	1	0B
536	8	11	1	0.3	1.0	1.0	1	0B
537	9	11	1	1.5	1.0	1.0	1	0B
538	10	11	1	-1.5	1.0	1.0	1	0B
539	11	11	1	-0.9	1.0	1.0	1	0B
540	12	11	1	0.9	1.0	1.0	1	0B
541	13	11	1	0.3	1.0	1.0	1	0B
542	14	11	1	-1.5	1.0	1.0	1	0B
543	15	11	1	-0.3	1.0	1.0	1	0B
544	16	11	1	1.5	1.0	1.0	1	0B
545	17	11	1	-0.9	1.0	1.0	1	0B
546	18	11	1	-0.9	1.0	1.0	-1	0B
547	19	11	1	1.5	1.0	1.0	-1	0B
548	20	11	1	-1.5	1.0	1.0	-1	0B
549	21	11	1	-0.3	1.0	1.0	-1	0B
550	22	11	1	0.9	1.0	1.0	-1	0B
551	23	11	1	0.3	1.0	1.0	-1	0B
552	24	11	-1	0.9	1.0	1.0	-1	0B
553	25	11	-1	1.5	1.0	1.0	-1	0B
554	26	11	-1	0.3	1.0	1.0	-1	0B
555	27	11	-1	-0.3	1.0	1.0	-1	0B
556	28	11	-1	-0.9	1.0	1.0	-1	0B
557	29	11	-1	-1.5	1.0	1.0	-1	0B
558	30	11	-1	0.9	1.0	1.0	-1	0B
559	31	11	-1	-0.3	1.0	1.0	-1	0B
560	32	11	-1	0.3	1.0	1.0	-1	0B
561	33	11	-1	-1.5	1.0	1.0	-1	0B
562	34	11	-1	-0.9	1.0	1.0	-1	0B
563	35	11	-1	1.5	1.0	1.0	-1	0B
564	36	11	-1	0.9	1.0	1.0	1	0B
565	37	11	-1	1.5	1.0	1.0	1	0B
566	38	11	-1	-0.9	1.0	1.0	1	0B
567	39	11	-1	-0.3	1.0	1.0	1	0B
568	40	11	-1	0.3	1.0	1.0	1	0B
569	41	11	-1	-1.5	1.0	1.0	1	0B
570	42	11	-1	0.9	1.0	1.0	1	0B
571	43	11	-1	-1.5	1.0	1.0	1	0B
572	44	11	-1	1.5	1.0	1.0	1	0B
573	45	11	-1	-0.3	1.0	1.0	1	0B
574	46	11	-1	0.3	1.0	1.0	1	0B
575	47	11	-1	-0.9	1.0	1.0	1	0B
576	0	12	-1	0.3	-1.0	-1.0	-1	1B
577	1	12	-1	-0.9	-1.0	-1.0	-1	1B
578	2	12	-1	-0.3	-1.0	-1.0	-1	1B
579	3	12	-1	0.9	-1.0	-1.0	-1	1B
580	4	12	-1	1.5	-1.0	-1.0	-1	1B
581	5	12	-1	-1.5	-1.0	-1.0	-1	1B
582	6	12	-1	-0.9	-1.0	-1.0	1	1B
583	7	12	-1	0.9	-1.0	-1.0	1	1B
584	8	12	-1	-1.5	-1.0	-1.0	1	1B
585	9	12	-1	-0.3	-1.0	-1.0	1	1B
586	10	12	-1	0.3	-1.0	-1.0	1	1B
587	11	12	-1	1.5	-1.0	-1.0	1	1B
588	12	12	-1	1.5	-1.0	-1.0	-1	1B
589	13	12	-1	-0.3	-1.0	-1.0	-1	1B
590	14	12	-1	0.3	-1.0	-1.0	-1	1B
591	15	12	-1	0.9	-1.0	-1.0	-1	1B
592	16	12	-1	-1.5	-1.0	-1.0	-1	1B
593	17	12	-1	-0.9	-1.0	-1.0	-1	1B
594	18	12	-1	-0.9	-1.0	-1.0	1	1B
595	19	12	-1	-0.3	-1.0	-1.0	1	1B
596	20	12	-1	-1.5	-1.0	-1.0	1	1B
597	21	12	-1	0.3	-1.0	-1.0	1	1B
598	22	12	-1	0.9	-1.0	-1.0	1	1B
599	23	12	-1	1.5	-1.0	-1.0	1	1B
600	24	12	1	0.9	-1.0	-1.0	1	1B
601	25	12	1	1.5	-1.0	-1.0	1	1B
602	26	12	1	0.3	-1.0	-1.0	1	1B
603	27	12	1	-0.3	-1.0	-1.0	1	1B
604	28	12	1	-0.9	-1.0	-1.0	1	1B
605	29	12	1	-1.5	-1.0	-1.0	1	1B
606	30	12	1	0.3	-1.0	-1.0	1	1B
607	31	12	1	-0.3	-1.0	-1.0	1	1B
608	32	12	1	-1.5	-1.0	-1.0	1	1B
609	33	12	1	1.5	-1.0	-1.0	1	1B
610	34	12	1	-0.9	-1.0	-1.0	1	1B
611	35	12	1	0.9	-1.0	-1.0	1	1B
612	36	12	1	-0.9	-1.0	-1.0	-1	1B
613	37	12	1	0.9	-1.0	-1.0	-1	1B
614	38	12	1	-0.3	-1.0	-1.0	-1	1B
615	39	12	1	-1.5	-1.0	-1.0	-1	1B
616	40	12	1	1.5	-1.0	-1.0	-1	1B
617	41	12	1	0.3	-1.0	-1.0	-1	1B
618	42	12	1	-0.9	-1.0	-1.0	-1	1B
619	43	12	1	-1.5	-1.0	-1.0	-1	1B
620	44	12	1	-0.3	-1.0	-1.0	-1	1B
621	45	12	1	0.9	-1.0	-1.0	-1	1B
622	46	12	1	0.3	-1.0	-1.0	-1	1B
623	47	12	1	1.5	-1.0	-1.0	-1	1B
624	0	13	1	0.3	-1.0	1.0	1	1B
625	1	13	1	-0.9	-1.0	1.0	1	1B
626	2	13	1	-0.3	-1.0	1.0	1	1B
627	3	13	1	-1.5	-1.0	1.0	1	1B
628	4	13	1	1.5	-1.0	1.0	1	1B
629	5	13	1	0.9	-1.0	1.0	1	1B
630	6	13	1	-1.5	-1.0	1.0	-1	1B
631	7	13	1	0.9	-1.0	1.0	-1	1B
632	8	13	1	1.5	-1.0	1.0	-1	1B
633	9	13	1	0.3	-1.0	1.0	-1	1B
634	10	13	1	-0.3	-1.0	1.0	-1	1B
635	11	13	1	-0.9	-1.0	1.0	-1	1B
636	12	13	1	-1.5	-1.0	1.0	1	1B
637	13	13	1	0.9	-1.0	1.0	1	1B
638	14	13	1	1.5	-1.0	1.0	1	1B
639	15	13	1	-0.3	-1.0	1.0	1	1B
640	16	13	1	-0.9	-1.0	1.0	1	1B
641	17	13	1	0.3	-1.0	1.0	1	1B
642	18	13	1	0.9	-1.0	1.0	-1	1B
643	19	13	1	-1.5	-1.0	1.0	-1	1B
644	20	13	1	-0.3	-1.0	1.0	-1	1B
645	21	13	1	0.3	-1.0	1.0	-1	1B
646	22	13	1	1.5	-1.0	1.0	-1	1B
647	23	13	1	-0.9	-1.0	1.0	-1	1B
648	24	13	-1	-0.3	-1.0	1.0	1	1B
649	25	13	-1	-0.9	-1.0	1.0	1	1B
650	26	13	-1	0.9	-1.0	1.0	1	1B
651	27	13	-1	1.5	-1.0	1.0	1	1B
652	28	13	-1	-1.5	-1.0	1.0	1	1B
653	29	13	-1	0.3	-1.0	1.0	1	1B
654	30	13	-1	-0.9	-1.0	1.0	-1	1B
655	31	13	-1	-1.5	-1.0	1.0	-1	1B
656	32	13	-1	0.9	-1.0	1.0	-1	1B
657	33	13	-1	-0.3	-1.0	1.0	-1	1B
658	34	13	-1	1.5	-1.0	1.0	-1	1B
659	35	13	-1	0.3	-1.0	1.0	-1	1B
660	36	13	-1	1.5	-1.0	1.0	-1	1B
661	37	13	-1	-1.5	-1.0	1.0	-1	1B
662	38	13	-1	0.9	-1.0	1.0	-1	1B
663	39	13	-1	0.3	-1.0	1.0	-1	1B
664	40	13	-1	-0.9	-1.0	1.0	-1	1B
665	41	13	-1	-0.3	-1.0	1.0	-1	1B
666	42	13	-1	-0.3	-1.0	1.0	1	1B
667	43	13	-1	-0.9	-1.0	1.0	1	1B
668	44	13	-1	1.5	-1.0	1.0	1	1B
669	45	13	-1	-1.5	-1.0	1.0	1	1B
670	46	13	-1	0.9	-1.0	1.0	1	1B
671	47	13	-1	0.3	-1.0	1.0	1	1B
672	0	14	-1	0.3	1.0	-1.0	1	1B
673	1	14	-1	1.5	1.0	-1.0	1	1B
674	2	14	-1	-1.5	1.0	-1.0	1	1B
675	3	14	-1	-0.3	1.0	-1.0	1	1B
676	4	14	-1	-0.9	1.0	-1.0	1	1B
677	5	14	-1	0.9	1.0	-1.0	1	1B
678	6	14	-1	1.5	1.0	-1.0	-1	1B
679	7	14	-1	0.3	1.0	-1.0	-1	1B
680	8	14	-1	-0.9	1.0	-1.0	-1	1B
681	9	14	-1	-1.5	1.0	-1.0	-1	1B
682	10	14	-1	0.9	1.0	-1.0	-1	1B
683	11	14	-1	-0.3	1.0	-1.0	-1	1B
684	12	14	-1	-1.5	1.0	-1.0	-1	1B
685	13	14	-1	0.9	1.0	-1.0	-1	1B
686	14	14	-1	0.3	1.0	-1.0	-1	1B
687	15	14	-1	-0.9	1.0	-1.0	-1	1B
688	16	14	-1	1.5	1.0	-1.0	-1	1B
689	17	14	-1	-0.3	1.0	-1.0	-1	1B
690	18	14	-1	0.9	1.0	-1.0	1	1B
691	19	14	-1	-0.9	1.0	-1.0	1	1B
692	20	14	-1	-1.5	1.0	-1.0	1	1B
693	21	14	-1	1.5	1.0	-1.0	1	1B
694	22	14	-1	0.3	1.0	-1.0	1	1B
695	23	14	-1	-0.3	1.0	-1.0	1	1B
696	24	14	1	1.5	1.0	-1.0	1	1B
697	25	14	1	-1.5	1.0	-1.0	1	1B
698	26	14	1	0.9	1.0	-1.0	1	1B
699	27	14	1	-0.3	1.0	-1.0	1	1B
700	28	14	1	0.3	1.0	-1.0	1	1B
701	29	14	1	-0.9	1.0	-1.0	1	1B
702	30	14	1	1.5	1.0	-1.0	-1	1B
703	31	14	1	0.3	1.0	-1.0	-1	1B
704	32	14	1	0.9	1.0	-1.0	-1	1B
705	33	14	1	-1.5	1.0	-1.0	-1	1B
706	34	14	1	-0.9	1.0	-1.0	-1	1B
707	35	14	1	-0.3	1.0	-1.0	-1	1B
708	36	14	1	0.3	1.0	-1.0	-1	1B
709	37	14	1	-1.5	1.0	-1.0	-1	1B
710	38	14	1	-0.3	1.0	-1.0	-1	1B
711	39	14	1	-0.9	1.0	-1.0	-1	1B
712	40	14	1	0.9	1.0	-1.0	-1	1B
713	41	14	1	1.5	1.0	-1.0	-1	1B
714	42	14	1	-1.5	1.0	-1.0	1	1B
715	43	14	1	-0.9	1.0	-1.0	1	1B
716	44	14	1	-0.3	1.0	-1.0	1	1B
717	45	14	1	0.9	1.0	-1.0	1	1B
718	46	14	1	1.5	1.0	-1.0	1	1B
719	47	14	1	0.3	1.0	-1.0	1	1B
720	0	15	1	0.3	1.0	1.0	-1	1B
721	1	15	1	0.9	1.0	1.0	-1	1B
722	2	15	1	-0.9	1.0	1.0	-1	1B
723	3	15	1	1.5	1.0	1.0	-1	1B
724	4	15	1	-0.3	1.0	1.0	-1	1B
725	5	15	1	-1.5	1.0	1.0	-1	1B
726	6	15	1	-1.5	1.0	1.0	-1	1B
727	7	15	1	0.3	1.0	1.0	-1	1B
728	8	15	1	1.5	1.0	1.0	-1	1B
729	9	15	1	-0.3	1.0	1.0	-1	1B
730	10	15	1	0.9	1.0	1.0	-1	1B
731	11	15	1	-0.9	1.0	1.0	-1	1B
732	12	15	1	-0.9	1.0	1.0	1	1B
733	13	15	1	0.3	1.0	1.0	1	1B
734	14	15	1	-0.3	1.0	1.0	1	1B
735	15	15	1	0.9	1.0	1.0	1	1B
736	16	15	1	-1.5	1.0	1.0	1	1B
737	17	15	1	1.5	1.0	1.0	1	1B
738	18	15	1	1.5	1.0	1.0	1	1B
739	19	15	1	-0.9	1.0	1.0	1	1B
740	20	15	1	-0.3	1.0	1.0	1	1B
741	21	15	1	0.3	1.0	1.0	1	1B
742	22	15	1	0.9	1.0	1.0	1	1B
743	23	15	1	-1.5	1.0	1.0	1	1B
744	24	15	-1	0.9	1.0	1.0	-1	1B
745	25	15	-1	-0.9	1.0	1.0	-1	1B
746	26	15	-1	0.3	1.0	1.0	-1	1B
747	27	15	-1	-0.3	1.0	1.0	-1	1B
748	28	15	-1	1.5	1.0	1.0	-1	1B
749	29	15	-1	-1.5	1.0	1.0	-1	1B
750	30	15	-1	-0.9	1.0	1.0	1	1B
751	31	15	-1	1.5	1.0	1.0	1	1B
752	32	15	-1	0.3	1.0	1.0	1	1B
753	33	15	-1	-0.3	1.0	1.0	1	1B
754	34	15	-1	0.9	1.0	1.0	1	1B
755	35	15	-1	-1.5	1.0	1.0	1	1B
756	36	15	-1	0.9	1.0	1.0	1	1B
757	37	15	-1	0.3	1.0	1.0	1	1B
758	38	15	-1	-0.3	1.0	1.0	1	1B
759	39	15	-1	1.5	1.0	1.0	1	1B
760	40	15	-1	-1.5	1.0	1.0	1	1B
761	41	15	-1	-0.9	1.0	1.0	1	1B
762	42	15	-1	0.3	1.0	1.0	-1	1B
763	43	15	-1	-0.9	1.0	1.0	-1	1B
764	44	15	-1	1.5	1.0	1.0	-1	1B
765	45	15	-1	0.9	1.0	1.0	-1	1B
766	46	15	-1	-0.3	1.0	1.0	-1	1B
767	47	15	-1	-1.5	1.0	1.0	-1	1B
768	0	16	-1	0.3	1.0	1.0	1	2B
769	1	16	-1	-0.3	1.0	1.0	1	2B
770	2	16	-1	-0.9	1.0	1.0	1	2B
771	3	16	-1	-1.5	1.0	1.0	1	2B
772	4	16	-1	1.5	1.0	1.0	1	2B
773	5	16	-1	0.9	1.0	1.0	1	2B
774	6	16	-1	0.9	1.0	1.0	-1	2B
775	7	16	-1	0.3	1.0	1.0	-1	2B
776	8	16	-1	-1.5	1.0	1.0	-1	2B
777	9	16	-1	1.5	1.0	1.0	-1	2B
778	10	16	-1	-0.9	1.0	1.0	-1	2B
779	11	16	-1	-0.3	1.0	1.0	-1	2B
780	12	16	-1	-0.9	1.0	1.0	-1	2B
781	13	16	-1	0.3	1.0	1.0	-1	2B
782	14	16	-1	-1.5	1.0	1.0	-1	2B
783	15	16	-1	1.5	1.0	1.0	-1	2B
784	16	16	-1	0.9	1.0	1.0	-1	2B
785	17	16	-1	-0.3	1.0	1.0	-1	2B
786	18	16	-1	0.3	1.0	1.0	1	2B
787	19	16	-1	0.9	1.0	1.0	1	2B
788	20	16	-1	-0.9	1.0	1.0	1	2B
789	21	16	-1	1.5	1.0	1.0	1	2B
790	22	16	-1	-0.3	1.0	1.0	1	2B
791	23	16	-1	-1.5	1.0	1.0	1	2B
792	24	16	1	0.9	1.0	1.0	1	2B
793	25	16	1	1.5	1.0	1.0	1	2B
794	26	16	1	-0.9	1.0	1.0	1	2B
795	27	16	1	-1.5	1.0	1.0	1	2B
796	28	16	1	0.3	1.0	1.0	1	2B
797	29	16	1	-0.3	1.0	1.0	1	2B
798	30	16	1	-1.5	1.0	1.0	-1	2B
799	31	16	1	1.5	1.0	1.0	-1	2B
800	32	16	1	0.3	1.0	1.0	-1	2B
801	33	16	1	-0.9	1.0	1.0	-1	2B
802	34	16	1	-0.3	1.0	1.0	-1	2B
803	35	16	1	0.9	1.0	1.0	-1	2B
804	36	16	1	0.9	1.0	1.0	1	2B
805	37	16	1	-0.3	1.0	1.0	1	2B
806	38	16	1	-1.5	1.0	1.0	1	2B
807	39	16	1	1.5	1.0	1.0	1	2B
808	40	16	1	0.3	1.0	1.0	1	2B
809	41	16	1	-0.9	1.0	1.0	1	2B
810	42	16	1	1.5	1.0	1.0	-1	2B
811	43	16	1	-0.3	1.0	1.0	-1	2B
812	44	16	1	-1.5	1.0	1.0	-1	2B
813	45	16	1	0.9	1.0	1.0	-1	2B
814	46	16	1	0.3	1.0	1.0	-1	2B
815	47	16	1	-0.9	1.0	1.0	-1	2B
816	0	17	1	0.9	1.0	-1.0	-1	2B
817	1	17	1	-1.5	1.0	-1.0	-1	2B
818	2	17	1	0.3	1.0	-1.0	-1	2B
819	3	17	1	-0.3	1.0	-1.0	-1	2B
820	4	17	1	1.5	1.0	-1.0	-1	2B
821	5	17	1	-0.9	1.0	-1.0	-1	2B
822	6	17	1	-0.9	1.0	-1.0	-1	2B
823	7	17	1	0.3	1.0	-1.0	-1	2B
824	8	17	1	1.5	1.0	-1.0	-1	2B
825	9	17	1	0.9	1.0	-1.0	-1	2B
826	10	17	1	-0.3	1.0	-1.0	-1	2B
827	11	17	1	-1.5	1.0	-1.0	-1	2B
828	12	17	1	-1.5	1.0	-1.0	1	2B
829	13	17	1	-0.3	1.0	-1.0	1	2B
830	14	17	1	0.9	1.0	-1.0	1	2B
831	15	17	1	-0.9	1.0	-1.0	1	2B
832	16	17	1	0.3	1.0	-1.0	1	2B
833	17	17	1	1.5	1.0	-1.0	1	2B
834	18	17	1	-0.3	1.0	-1.0	1	2B
835	19	17	1	1.5	1.0	-1.0	1	2B
836	20	17	1	-1.5	1.0	-1.0	1	2B
837	21	17	1	0.9	1.0	-1.0	1	2B
838	22	17	1	0.3	1.0	-1.0	1	2B
839	23	17	1	-0.9	1.0	-1.0	1	2B
840	24	17	-1	1.5	1.0	-1.0	1	2B
841	25	17	-1	0.3	1.0	-1.0	1	2B
842	26	17	-1	-1.5	1.0	-1.0	1	2B
843	27	17	-1	0.9	1.0	-1.0	1	2B
844	28	17	-1	-0.3	1.0	-1.0	1	2B
845	29	17	-1	-0.9	1.0	-1.0	1	2B
846	30	17	-1	-0.9	1.0	-1.0	-1	2B
847	31	17	-1	0.9	1.0	-1.0	-1	2B
848	32	17	-1	1.5	1.0	-1.0	-1	2B
849	33	17	-1	-1.5	1.0	-1.0	-1	2B
850	34	17	-1	0.3	1.0	-1.0	-1	2B
851	35	17	-1	-0.3	1.0	-1.0	-1	2B
852	36	17	-1	-0.3	1.0	-1.0	1	2B
853	37	17	-1	-1.5	1.0	-1.0	1	2B
854	38	17	-1	0.3	1.0	-1.0	1	2B
855	39	17	-1	1.5	1.0	-1.0	1	2B
856	40	17	-1	-0.9	1.0	-1.0	1	2B
857	41	17	-1	0.9	1.0	-1.0	1	2B
858	42	17	-1	0.9	1.0	-1.0	-1	2B
859	43	17	-1	-0.9	1.0	-1.0	-1	2B
860	44	17	-1	-0.3	1.0	-1.0	-1	2B
861	45	17	-1	0.3	1.0	-1.0	-1	2B
862	46	17	-1	-1.5	1.0	-1.0	-1	2B
863	47	17	-1	1.5	1.0	-1.0	-1	2B
864	0	18	-1	-0.3	-1.0	-1.0	1	2B
865	1	18	-1	-0.9	-1.0	-1.0	1	2B
866	2	18	-1	-1.5	-1.0	-1.0	1	2B
867	3	18	-1	1.5	-1.0	-1.0	1	2B
868	4	18	-1	0.3	-1.0	-1.0	1	2B
869	5	18	-1	0.9	-1.0	-1.0	1	2B
870	6	18	-1	1.5	-1.0	-1.0	1	2B
871	7	18	-1	-0.3	-1.0	-1.0	1	2B
872	8	18	-1	-0.9	-1.0	-1.0	1	2B
873	9	18	-1	0.9	-1.0	-1.0	1	2B
874	10	18	-1	-1.5	-1.0	-1.0	1	2B
875	11	18	-1	0.3	-1.0	-1.0	1	2B
876	12	18	-1	1.5	-1.0	-1.0	-1	2B
877	13	18	-1	-1.5	-1.0	-1.0	-1	2B
878	14	18	-1	-0.9	-1.0	-1.0	-1	2B
879	15	18	-1	0.9	-1.0	-1.0	-1	2B
880	16	18	-1	-0.3	-1.0	-1.0	-1	2B
881	17	18	-1	0.3	-1.0	-1.0	-1	2B
882	18	18	-1	-0.9	-1.0	-1.0	-1	2B
883	19	18	-1	1.5	-1.0	-1.0	-1	2B
884	20	18	-1	-0.3	-1.0	-1.0	-1	2B
885	21	18	-1	0.9	-1.0	-1.0	-1	2B
886	22	18	-1	-1.5	-1.0	-1.0	-1	2B
887	23	18	-1	0.3	-1.0	-1.0	-1	2B
888	24	18	1	1.5	-1.0	-1.0	-1	2B
889	25	18	1	-0.3	-1.0	-1.0	-1	2B
890	26	18	1	-0.9	-1.0	-1.0	-1	2B
891	27	18	1	0.3	-1.0	-1.0	-1	2B
892	28	18	1	-1.5	-1.0	-1.0	-1	2B
893	29	18	1	0.9	-1.0	-1.0	-1	2B
894	30	18	1	1.5	-1.0	-1.0	-1	2B
895	31	18	1	-1.5	-1.0	-1.0	-1	2B
896	32	18	1	0.3	-1.0	-1.0	-1	2B
897	33	18	1	0.9	-1.0	-1.0	-1	2B
898	34	18	1	-0.3	-1.0	-1.0	-1	2B
899	35	18	1	-0.9	-1.0	-1.0	-1	2B
900	36	18	1	-1.5	-1.0	-1.0	1	2B
901	37	18	1	1.5	-1.0	-1.0	1	2B
902	38	18	1	-0.9	-1.0	-1.0	1	2B
903	39	18	1	0.3	-1.0	-1.0	1	2B
904	40	18	1	-0.3	-1.0	-1.0	1	2B
905	41	18	1	0.9	-1.0	-1.0	1	2B
906	42	18	1	-1.5	-1.0	-1.0	1	2B
907	43	18	1	-0.3	-1.0	-1.0	1	2B
908	44	18	1	0.3	-1.0	-1.0	1	2B
909	45	18	1	0.9	-1.0	-1.0	1	2B
910	46	18	1	1.5	-1.0	-1.0	1	2B
911	47	18	1	-0.9	-1.0	-1.0	1	2B
912	0	19	1	1.5	-1.0	1.0	-1	2B
913	1	19	1	-0.3	-1.0	1.0	-1	2B
914	2	19	1	0.9	-1.0	1.0	-1	2B
915	3	19	1	-0.9	-1.0	1.0	-1	2B
916	4	19	1	-1.5	-1.0	1.0	-1	2B
917	5	19	1	0.3	-1.0	1.0	-1	2B
918	6	19	1	-0.9	-1.0	1.0	-1	2B
919	7	19	1	-1.5	-1.0	1.0	-1	2B
920	8	19	1	0.9	-1.0	1.0	-1	2B
921	9	19	1	-0.3	-1.0	1.0	-1	2B
922	10	19	1	1.5	-1.0	1.0	-1	2B
923	11	19	1	0.3	-1.0	1.0	-1	2B
924	12	19	1	0.3	-1.0	1.0	1	2B
925	13	19	1	0.9	-1.0	1.0	1	2B
926	14	19	1	-0.3	-1.0	1.0	1	2B
927	15	19	1	-1.5	-1.0	1.0	1	2B
928	16	19	1	1.5	-1.0	1.0	1	2B
929	17	19	1	-0.9	-1.0	1.0	1	2B
930	18	19	1	-1.5	-1.0	1.0	1	2B
931	19	19	1	-0.9	-1.0	1.0	1	2B
932	20	19	1	-0.3	-1.0	1.0	1	2B
933	21	19	1	1.5	-1.0	1.0	1	2B
934	22	19	1	0.9	-1.0	1.0	1	2B
935	23	19	1	0.3	-1.0	1.0	1	2B
936	24	19	-1	-0.3	-1.0	1.0	-1	2B
937	25	19	-1	-0.9	-1.0	1.0	-1	2B
938	26	19	-1	-1.5	-1.0	1.0	-1	2B
939	27	19	-1	0.9	-1.0	1.0	-1	2B
940	28	19	-1	1.5	-1.0	1.0	-1	2B
941	29	19	-1	0.3	-1.0	1.0	-1	2B
942	30	19	-1	1.5	-1.0	1.0	-1	2B
943	31	19	-1	-0.9	-1.0	1.0	-1	2B
944	32	19	-1	0.3	-1.0	1.0	-1	2B
945	33	19	-1	0.9	-1.0	1.0	-1	2B
946	34	19	-1	-1.5	-1.0	1.0	-1	2B
947	35	19	-1	-0.3	-1.0	1.0	-1	2B
948	36	19	-1	0.3	-1.0	1.0	1	2B
949	37	19	-1	0.9	-1.0	1.0	1	2B
950	38	19	-1	1.5	-1.0	1.0	1	2B
951	39	19	-1	-1.5	-1.0	1.0	1	2B
952	40	19	-1	-0.9	-1.0	1.0	1	2B
953	41	19	-1	-0.3	-1.0	1.0	1	2B
954	42	19	-1	-0.3	-1.0	1.0	1	2B
955	43	19	-1	-1.5	-1.0	1.0	1	2B
956	44	19	-1	-0.9	-1.0	1.0	1	2B
957	45	19	-1	1.5	-1.0	1.0	1	2B
958	46	19	-1	0.9	-1.0	1.0	1	2B
959	47	19	-1	0.3	-1.0	1.0	1	2B
960	0	20	-1	1.5	1.0	-1.0	1	0B
961	1	20	-1	0.9	1.0	-1.0	1	0B
962	2	20	-1	-0.3	1.0	-1.0	1	0B
963	3	20	-1	0.3	1.0	-1.0	1	0B
964	4	20	-1	-1.5	1.0	-1.0	1	0B
965	5	20	-1	-0.9	1.0	-1.0	1	0B
966	6	20	-1	0.9	1.0	-1.0	-1	0B
967	7	20	-1	-1.5	1.0	-1.0	-1	0B
968	8	20	-1	-0.9	1.0	-1.0	-1	0B
969	9	20	-1	1.5	1.0	-1.0	-1	0B
970	10	20	-1	0.3	1.0	-1.0	-1	0B
971	11	20	-1	-0.3	1.0	-1.0	-1	0B
972	12	20	-1	-0.3	1.0	-1.0	1	0B
973	13	20	-1	-1.5	1.0	-1.0	1	0B
974	14	20	-1	0.9	1.0	-1.0	1	0B
975	15	20	-1	-0.9	1.0	-1.0	1	0B
976	16	20	-1	1.5	1.0	-1.0	1	0B
977	17	20	-1	0.3	1.0	-1.0	1	0B
978	18	20	-1	0.9	1.0	-1.0	-1	0B
979	19	20	-1	1.5	1.0	-1.0	-1	0B
980	20	20	-1	-1.5	1.0	-1.0	-1	0B
981	21	20	-1	-0.3	1.0	-1.0	-1	0B
982	22	20	-1	-0.9	1.0	-1.0	-1	0B
983	23	20	-1	0.3	1.0	-1.0	-1	0B
984	24	20	1	1.5	1.0	-1.0	1	0B
985	25	20	1	-1.5	1.0	-1.0	1	0B
986	26	20	1	-0.9	1.0	-1.0	1	0B
987	27	20	1	0.3	1.0	-1.0	1	0B
988	28	20	1	-0.3	1.0	-1.0	1	0B
989	29	20	1	0.9	1.0	-1.0	1	0B
990	30	20	1	-0.9	1.0	-1.0	-1	0B
991	31	20	1	1.5	1.0	-1.0	-1	0B
992	32	20	1	0.3	1.0	-1.0	-1	0B
993	33	20	1	0.9	1.0	-1.0	-1	0B
994	34	20	1	-0.3	1.0	-1.0	-1	0B
995	35	20	1	-1.5	1.0	-1.0	-1	0B
996	36	20	1	1.5	1.0	-1.0	1	0B
997	37	20	1	0.3	1.0	-1.0	1	0B
998	38	20	1	-0.3	1.0	-1.0	1	0B
999	39	20	1	0.9	1.0	-1.0	1	0B
1000	40	20	1	-1.5	1.0	-1.0	1	0B
1001	41	20	1	-0.9	1.0	-1.0	1	0B
1002	42	20	1	-1.5	1.0	-1.0	-1	0B
1003	43	20	1	0.3	1.0	-1.0	-1	0B
1004	44	20	1	0.9	1.0	-1.0	-1	0B
1005	45	20	1	-0.9	1.0	-1.0	-1	0B
1006	46	20	1	1.5	1.0	-1.0	-1	0B
1007	47	20	1	-0.3	1.0	-1.0	-1	0B
1008	0	21	1	-0.9	-1.0	1.0	1	0B
1009	1	21	1	-1.5	-1.0	1.0	1	0B
