
																																																		
Interferometer Scan																																																		
1.869121	1.644910	34.371556	11.420535	17.499451	1.754498	26.011891	118.657876	2.336040	1.804191	1.626783	1.755529	31.007884	1.680142	143.844596	1.671831	1.661258	1.773802	17.195729	3.047769	28.502037	2.357035	12.569142	2.111079	22.313156	5.109357	34.942662	49.063288	1.714651	1.621409	5.880580	85.919962	41.420812	1.616384	4.079660	1.834335	1.741887	2.338761	5.148698	34.263405	1.588023	1.685372	1.612528	9.707821	1.656754	22.398804	10.112765	1.646989	63.040736	4.596414	27.255399
Laser Intensity Signal																																																		
58114.837053	36123.701412	58223.466906	47036.006400	47000.362680	37831.528940	47145.894543	38140.672737	37762.655846	47064.291738	46908.295086	47066.724434	47152.440279	47175.434240	38130.297078	47212.168479	47093.535212	37825.727693	46987.521556	38031.117517	58110.341284	26713.763348	48918.915973	36005.422039	49057.879818	26833.994383	58454.941368	36128.030720	58197.407171	35949.355991	49139.187712	58569.302999	26893.986038	35996.670362	58276.554998	36042.528522	58301.702472	35978.161684	58192.895672	58163.768852	36078.231224	58268.709028	35970.628977	35981.817283	58043.581071	35941.195448	58441.506488	35964.469903	49176.965284	36184.953979	58182.194954
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
82.260789	15.262840	5474.007831	0.637292	2.338206	0.597089																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:50:17 PM																																																	
X position (cm)																																																		
5.614737																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5438.346375	5466.111750	5497.306125	5476.494000	5457.396375	5504.259375	5481.685125	5445.252000	5483.447250	5478.208500	5434.869750	5486.923875	5467.826250	5512.927125	5493.829500	5453.967375	5488.638375	5507.736000	5459.158500	5500.782750	5440.060875	5473.017375	5464.349625	5441.823000	5469.540750	5455.681875	5490.352875	5479.970625	5509.450500	5511.212625	5447.014125	5462.635125	5505.973875	5443.537500	5502.497250	5474.779500	5431.393125	5499.068250	5492.115000	5448.728625	5471.302875	5460.873000	5450.490750	5485.161750	5514.641625	5495.591625	5452.205250	5433.107625	5436.584250	5516.403750	5473.874625
Fringe Signal																																																		
1.738669	8.139528	17.192162	34.717351	2.133731	3.964192	46.060908	1.596841	55.527989	37.790598	1.719650	242.900388	6.168055	1.824158	32.680232	1.670729	58.758425	2.724840	2.682866	10.552551	1.707225	22.354160	3.497768	1.587032	6.835621	2.088660	44.556707	46.283349	2.676407	2.448787	1.788646	2.116475	12.739053	1.555078	6.416921	77.592167	1.663804	11.501231	39.664604	1.639600	8.535445	2.104240	1.793467	212.308520	1.674936	21.697370	1.796374	1.779950	1.578618	1.900327	35.623153
Laser Intensity Signal																																																		
