
																																								
Interferometer Scan																																								
5474.398500	5501.068500	5509.260000	5472.350625	5476.446375	5511.307875	5537.977875	5494.924875	5470.302750	5525.690625	5529.786375	5513.355750	5515.451250	5496.972750	5490.829125	5542.073625	5482.590000	5548.264875	5519.547000	5517.499125	5478.494250	5531.834250	5507.212125	5499.020625	5488.781250	5486.733375	5484.637875	5527.738500	5503.116375	5492.877000	5521.594875	5544.169125	5480.542125	5533.882125	5523.642750	5523.642750	5546.217000	5540.025750	5535.930000	5550.312750	5510.307750
Fringe Signal																																								
56.345094	67.459350	12.629063	35.858838	65.515103	9.232404	4.258075	168.935659	24.368433	4.318471	4.369137	5.654891	5.731260	123.954778	243.644611	4.269914	197.845016	4.274017	4.426789	4.286526	120.280278	4.276480	15.452035	79.673981	270.253571	260.604744	236.969949	4.283442	33.936638	205.538760	4.472050	4.307004	163.735979	4.357478	4.320553	4.315061	4.393406	4.353624	4.379422	4.250526	8.597335
Laser Intensity Signal																																								
41055.517409	63493.737021	40382.723523	63400.673280	30877.384704	62015.145247	39809.240269	63694.954824	40791.943414	52109.123256	42146.669527	51123.033211	51123.469681	42051.241247	51824.188457	51085.600358	51454.912758	51354.872054	51611.024753	41968.646226	51434.145710	51233.318502	51191.787028	41965.099418	42306.400420	42328.739021	42363.868938	51244.388844	51046.787318	42752.741212	51942.956728	51961.139036	53237.069906	52204.387697	51984.725443	51912.947794	42591.547556	42526.347100	42351.148401	42476.403425	52080.619028
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
258.530739	3.392955	5487.943561	0.110087	7.283496	0.112061																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:28:25 AM																																							
X position (cm)																																								
35.560000																																								
Y position (cm)																																								
4.233333																																								
Interferometer Positions (um)																																								
5452.110000	5489.019375	5460.301500	5468.540625	5499.306375	5517.737250	5493.115125	5486.971500	5511.593625	5497.258500	5497.258500	5454.157875	5478.780000	5448.014250	5528.024250	5458.253625	5450.062125	5474.684250	5495.163000	5507.497875	5519.785125	5464.397250	5515.689375	5505.450000	5521.833000	5503.402125	5462.349375	5513.641500	5482.875750	5501.354250	5480.827875	5509.545750	5525.976375	5466.445125	5472.636375	5491.067250	5476.732125	5523.880875	5470.588500	5484.923625	5488.019250
Fringe Signal																																								
3.877119	246.627962	4.488043	7.997069	129.389332	4.552536	219.395555	236.184028	10.121615	146.255869	144.549185	3.948254	70.034328	3.863026	3.829998	4.304940	3.872140	31.319286	212.688046	22.084195	4.300738	5.932318	5.559482	29.645423	4.081695	41.569544	4.585836	7.293269	166.887279	83.154981	122.733315	13.510185	3.971012	7.518623	19.546312	250.743497	63.354049	4.090846	16.484446	189.823677	241.554467
Laser Intensity Signal																																								
64146.971034	32328.135475	64331.116708	64383.373804	41566.588109	54486.895165	41893.764792	64462.402355	41319.227720	64356.641669	31943.849411	54527.688704	41512.780431	63864.077025	31597.483786	63815.559414	31841.576550	54676.665139	32348.553871	64089.765970	31895.559864	64437.290271	41741.553500	54488.753766	31809.583186	64239.051735	31859.951534	64070.262456	64459.733729	41543.318897	64510.079795	41498.675773	64281.956844	41537.471775	64196.424499	41786.752369	54567.838679	31756.935496	54781.693133	32292.313498	43821.360742
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
245.553577	3.427045	5489.963144	0.123355	7.389783	0.126380																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:29:26 AM																																							
X position (cm)																																								
23.706667																																								
Y position (cm)																																								
4.233333																																								
Interferometer Positions (um)																																								
5509.545750	5458.301250	5450.062125	5474.684250	5468.540625	5482.923375	5476.732125	5462.397000	5460.349125	5501.354250	5480.827875	5456.253375	5505.450000	5472.636375	5489.067000	5497.258500	5493.162750	5484.971250	5464.444875	5503.402125	5523.928500	5495.210625	5499.306375	5519.832750	5470.588500	5521.880625	5507.497875	5517.784875	5528.024250	5515.737000	5466.492750	5525.976375	5511.641250	5491.114875	5478.780000	5530.072125	5452.110000	5487.019125	5513.689125	5454.205500	5490.067125
Fringe Signal																																								
215.973889	3.426880	3.586700	3.579039	3.618085	3.862630	3.539533	3.463971	3.527756	53.915960	3.539666	3.398448	116.342322	3.437508	5.183354	21.667933	10.362548	3.988408	3.522497	87.481047	109.286627	17.778537	37.723734	195.602002	3.626639	161.194643	183.935555	234.651028	50.614712	261.676857	3.507321	81.502236	264.585436	8.338869	3.593411	33.318086	3.571248	3.952732	277.723256	3.467996	5.811069
Laser Intensity Signal																																								
62632.803697	39976.885289	62594.039153	30578.784338	62041.585091	40057.041060	62318.373765	39911.745126	62226.395300	39964.281405	52826.317783	39831.344251	53040.098836	39930.964214	52688.701358	30471.208305	62453.737062	30541.848248	52770.094449	30733.652460	62697.845555	40043.410883	62334.232166	40242.186813	52831.153029	30883.639460	62496.854508	31480.637030	52952.440504	40440.223498	61096.638546	50659.177267	50698.282598	50183.072645	50010.070712	51153.624105	41336.134697	50573.859881	50926.181417	50349.294223	50820.824433
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
267.383598	3.165982	5514.266010	0.097882	7.171062	0.099111																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:30:27 AM																																							
X position (cm)																																								
11.853333																																								
Y position (cm)																																								
4.233333																																								
Interferometer Positions (um)																																								
5513.212875	5500.878000	5531.643750	5504.973750	5494.734375	5494.734375	5554.218000	5533.691625	5515.260750	5523.452250	5535.739500	5488.590750	5517.308625	5550.122250	5496.782250	5484.495000	5502.925875	5548.074375	5474.208000	5546.026500	5476.255875	5490.638625	5492.686500	5541.930750	5537.787375	5529.595875	5525.500125	5511.165000	5539.882875	5543.978625	5482.447125	5519.356500	5527.548000	5509.069500	5486.542875	5498.830125	5552.170125	5480.351625	5478.303750	5507.021625	5514.213000
Fringe Signal																																								
266.330364	46.278781	33.272181	112.014694	10.541910	9.727857	1.544447	12.687201	293.345635	174.726379	10.048160	2.535593	301.131288	1.586498	16.842958	1.973703	61.794336	1.705706	1.619196	1.927224	1.527163	3.159074	4.524701	3.247515	5.301084	33.986341	95.671422	241.741557	4.439315	2.346194	1.789998	245.021853	58.486945	210.209076	2.317136	19.733252	1.576880	1.780912	1.512566	117.971716	286.699324
Laser Intensity Signal																																								
47425.827635	34370.460058	55728.607068	34734.377533	56039.425966	34604.194202	55835.497595	34567.351173	56460.252283	47389.276897	34518.985605	46766.973256	36926.651105	45121.545175	36363.125391	44971.105976	45060.963697	45156.955587	36395.911741	36037.539922	45054.495293	44984.703386	45175.367270	36099.214541	55347.275366	25628.635300	55731.818332	34883.487662	25480.737587	54840.056873	33904.581673	56198.027018	34868.262339	56279.113400	34679.104471	55612.051292	33924.100915	46834.101780	26033.068442	56866.060370	35479.128637
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
290.756672	4.073456	5515.500738	0.131737	7.025423	0.120361																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:31:29 AM																																							
X position (cm)																																								
0.000000																																								
Y position (cm)																																								
4.233333																																								
Interferometer Positions (um)																																								
5495.401125	5542.549875	5478.970500	5476.922625	5511.784125	5550.741375	5505.640500	5483.066250	5554.884750	5481.018375	5487.162000	5474.874750	5513.832000	5501.544750	5493.305625	5489.209875	5526.166875	5530.262625	5499.496875	5552.836875	5528.214750	5517.927750	5538.454125	5532.310500	5507.688375	5534.358375	5509.736250	5544.597750	5548.693500	5519.975625	5503.592625	5524.119000	5485.114125	5522.023500	5515.879875	5546.645625	5536.406250	5491.257750	5540.502000	5497.449000	5514.879750
Fringe Signal																																								
284.326401	1.768459	17.134667	12.700168	56.590282	1.687550	138.554564	56.566712	1.749925	31.589383	104.291137	7.435902	30.524960	245.422516	272.509004	149.540567	2.285651	1.747733	241.729911	1.702433	1.900395	8.678565	1.755431	1.806256	101.528983	1.736057	54.492741	1.686662	1.705153	5.148767	178.696375	3.163499	86.310736	4.257952	12.542005	1.666742	1.800003	174.322493	1.728343	308.187561	19.646067
Laser Intensity Signal																																								
39737.452134	62330.478264	39475.415613	52473.297633	29800.549581	62143.620710	39659.491820	39291.112653	52425.818112	39500.298322	62603.292836	29696.933233	62434.126070	39892.106609	53285.586207	39577.145836	62377.822781	50824.469545	51522.760868	40937.852764	50825.599386	40977.810063	41120.879084	50975.729254	52681.281372	39586.149171	52935.854653	29644.881920	62477.027246	39558.842941	52797.498982	38859.239588	61098.072474	28745.440952	62251.616174	39148.803850	51997.701571	39325.412884	52370.607964	62875.656520	39260.334326
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
281.486074	5.583807	5497.070891	0.163836	7.161390	0.162464																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:32:24 AM																																							
X position (cm)																																								
0.000000																																								
Y position (cm)																																								
8.466667																																								
Interferometer Positions (um)																																								
5530.977000	5461.206375	5465.302125	5520.690000	5498.115750	5467.350000	5504.307000	5475.589125	5487.876375	5496.067875	5483.780625	5514.546375	5477.637000	5494.020000	5526.833625	5491.972125	5516.594250	5469.397875	5533.024875	5473.541250	5457.110625	5506.354875	5481.732750	5502.259125	5512.498500	5524.785750	5500.211250	5489.924250	5537.120625	5522.737875	5528.929125	5485.828500	5463.254250	5535.072750	5471.493375	5479.684875	5508.402750	5459.158500	5510.450625	5518.642125	5497.115625
Fringe Signal																																								
22.934261	1.680598	1.589129	204.222071	37.721590	1.594097	134.228564	1.616855	2.937823	19.202645	2.447961	263.743174	1.669881	10.994422	59.662445	9.388070	239.833388	1.589216	13.305589	1.689287	1.560719	162.969682	1.874972	92.178937	289.481695	93.347212	70.690960	6.005608	5.482470	99.907781	39.541562	2.679580	1.552947	8.578538	1.536854	1.597496	190.961586	1.658410	281.409745	185.594392	34.865754
Laser Intensity Signal																																								
39035.001897	62117.993513	39235.024323	62438.058230	39182.700380	39306.070589	52397.115965	29466.183598	61964.658934	29315.192586	52343.423631	39854.291026	62096.681206	29561.044337	62233.930629	29378.922414	62369.612431	39017.312420	39175.705068	62086.046024	39017.786900	62451.849626	38841.280102	61467.696824	30035.198607	52770.276639	39518.871224	52243.559875	39242.789028	52483.443917	29364.050985	52307.570196	39017.921905	62094.287831	39150.665073	29323.075256	29751.666278	60453.435474	30102.830449	62441.924854	39270.704742
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
268.845427	5.829339	5513.346297	0.186948	7.476701	0.183929																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:33:25 AM																																							
X position (cm)																																								
11.853333																																								
Y position (cm)																																								
8.466667																																								
Interferometer Positions (um)																																								
5514.355875	5495.877375	5510.212500	5528.691000	5497.925250	5532.786750	5485.638000	5475.351000	5522.547375	5545.121625	5477.398875	5502.021000	5518.451625	5491.781625	5536.882500	5543.073750	5489.733750	5483.542500	5538.930375	5473.303125	5526.643125	5479.446750	5504.068875	5481.494625	5508.164625	5493.829500	5547.169500	5499.973125	5534.834625	5520.499500	5512.260375	5516.403750	5551.265250	5549.217375	5506.116750	5540.978250	5530.738875	5553.313125	5524.595250	5487.685875	5513.308125
Fringe Signal																																								
124.972976	2.701375	49.908200	234.167375	3.592085	125.899553	1.720842	1.681272	276.413504	7.413483	1.728530	7.527313	195.410237	1.974597	64.266986	12.939634	1.747976	1.669409	38.609119	1.699837	245.538451	1.705846	10.936840	1.712325	29.988158	2.180328	4.369691	4.574108	95.155506	280.665102	88.417595	170.754977	2.306870	2.364150	24.068686	21.804087	154.651620	2.137347	257.167282	1.737541	96.540729
Laser Intensity Signal																																								
57681.062134	35761.375150	48596.020101	36218.239713	57255.732183	35882.878894	48508.020982	26697.393766	48846.157906	26656.677560	57494.938583	35840.882115	57835.564564	26633.882829	35791.326413	57621.580349	35493.740544	57259.428413	35789.364265	48254.418944	36262.102958	57552.041411	35824.972595	57467.366277	35856.753623	57380.795843	35749.679596	57497.274286	35937.969766	48790.545367	35950.311506	48539.144028	35647.148524	55295.368233	34577.116037	56956.831662	26855.914865	48311.343514	36308.346470	48081.326572	35710.600479
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
271.504433	4.178280	5523.648146	0.126203	7.355078	0.125736																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:34:27 AM																																							
X position (cm)																																								
23.706667																																								
Y position (cm)																																								
8.466667																																								
Interferometer Positions (um)																																								
5510.069625	5557.266000	5518.308750	5559.313875	5551.122375	5540.835375	5501.878125	5503.926000	5536.739625	5532.643875	5505.973875	5491.638750	5489.590875	5495.734500	5524.452375	5553.170250	5544.978750	5487.543000	5542.930875	5516.260875	5528.548125	5563.409625	5512.117500	5493.686625	5497.782375	5549.074500	5530.596000	5499.830250	5483.399625	5522.404500	5547.026625	5555.218125	5538.787500	5534.691750	5526.500250	5508.021750	5514.213000	5561.361750	5485.495125	5520.356625	5523.404625
Fringe Signal																																								
164.987998	3.524792	249.446112	3.450998	3.541648	5.342281	43.058561	50.430081	13.421963	27.521095	89.702792	6.118037	4.235638	8.727485	152.496788	3.483846	4.065430	4.213410	4.952814	263.986921	83.414324	3.425604	228.856111	7.628694	14.068349	3.519075	41.036182	28.759178	3.706405	197.275669	3.571147	3.511865	6.398386	15.090562	95.351845	141.871406	242.664038	3.513107	3.877298	231.347782	188.576656
Laser Intensity Signal																																								
39827.826278	62221.037076	40075.710956	62039.372595	30283.100324	62264.204329	52743.292846	40052.596408	63058.247680	39478.851011	52932.841308	30557.745971	62389.552415	39308.671058	63779.273441	41022.581637	53632.725156	38501.928141	51832.645222	39643.452539	62713.435259	40804.175053	64267.372462	41355.407524	64163.583099	40926.411489	63987.368591	41089.659044	42763.046093	52786.734039	42594.387886	52377.535119	52437.963244	52384.719176	52318.534369	52902.823199	52854.236119	52440.304189	52521.435136	52884.706427	42872.113725
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
258.583284	3.405866	5516.711872	0.106983	7.338027	0.111698																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:35:28 AM																																							
X position (cm)																																								
35.560000																																								
Y position (cm)																																								
8.466667																																								
Interferometer Positions (um)																																								
5528.452875	5551.027125	5520.261375	5555.122875	5526.405000	5518.213500	5516.165625	5487.447750	5501.782875	5546.931375	5477.160750	5538.692250	5557.170750	5495.639250	5544.883500	5542.788000	5499.735000	5548.979250	5503.830750	5553.075000	5497.687125	5540.740125	5491.543500	5479.208625	5522.309250	5524.357125	5534.596500	5532.548625	5483.304375	5512.022250	5505.878625	5507.926500	5530.500750	5514.070125	5536.644375	5481.256500	5489.495625	5493.591375	5485.352250	5509.974375	5517.165750
Fringe Signal																																								
