
																									
Interferometer Scan																									
1.855022	1.395132	1.239534	13.980664	8.668134	6.721974	1.158463	0.853238	19.739719	0.884819	0.918868	0.899578	9.965419	2.345192	0.850625	24.130085	0.848142	12.071520	3.326707	0.943767	2.941809	21.986527	21.784690	1.315350	0.885112	19.426407
Laser Intensity Signal																									
63611.224719	44359.542374	44347.903181	36531.794084	44112.773120	44192.483246	44283.634647	63425.284669	63782.155715	63584.788808	44117.925560	56225.600635	55773.251502	63351.999693	63608.271667	55830.966436	44009.082061	44223.501435	56002.525266	44096.763986	44091.793736	36752.481321	44396.098355	55989.048443	55985.353523	44314.790461
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
23.487794	0.652193	1497.451953	0.258784	7.981724	0.270177																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:59:10 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
4.000000																									
Interferometer Positions (um)																									
1463.087625	1525.571625	1466.183250	1494.329625	1478.708625	1513.093875	1484.947500	1534.953750	1472.469750	1522.428375	1497.472875	1488.090750	1475.565375	1509.950625	1459.944375	1516.189500	1500.568500	1469.326500	1503.711750	1491.186375	1506.807375	1528.714875	1519.332750	1531.810500	1481.804250	1497.472875
Fringe Signal																									
1.263465	0.937043	1.515009	11.405002	14.140728	1.108202	21.216217	1.000864	5.252167	0.995343	5.867287	18.805627	9.845842	1.278421	1.044449	0.999814	3.465598	2.791447	2.847172	14.145001	1.942537	1.008294	1.004035	1.029319	20.394239	7.469555
Laser Intensity Signal																									
62266.280509	54320.937042	54492.811756	62324.489585	62348.310610	62042.515702	62401.215201	62342.472663	62043.977155	54416.088760	62390.213018	62309.382226	35093.689139	42845.056532	62182.750945	54511.764767	42712.901878	42822.459720	42784.868270	42935.801610	62538.945659	54730.446602	62363.594916	54608.030597	42923.237048	42974.653972
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
20.596787	0.572213	1485.217389	0.250084	8.105090	0.245924																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:59:50 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
8.000000																									
Interferometer Positions (um)																									
1460.230125	1466.469000	1513.332000	1500.854250	1516.475250	1482.090000	1503.949875	1478.946750	1453.943625	1450.848000	1475.851125	1497.711000	1472.707875	1463.325750	1447.704750	1469.612250	1491.472125	1507.093125	1485.233250	1457.086875	1522.714125	1519.570875	1510.236375	1494.615375	1488.328875	1485.233250
Fringe Signal																									
1.030767	1.021172	2.124998	12.276353	1.487782	8.046834	10.488001	4.227955	1.029496	1.029070	1.867849	20.526135	1.335473	1.068067	0.990488	1.096306	21.705929	6.622808	13.140007	1.067147	1.075539	1.231776	2.464974	21.721220	19.774627	12.252654
Laser Intensity Signal																									
64676.664443	64633.920553	57140.089979	64668.707062	64786.505400	64865.034568	64613.554586	57238.025667	45130.484285	45162.161766	45108.824637	45353.515090	45154.349875	45132.450365	64909.166510	64909.972603	64805.268357	64469.665055	45104.001188	45163.262771	45103.402189	64818.068849	65174.823240	65146.821018	64323.931341	64408.800461
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
22.253408	0.608983	1493.497797	0.242797	8.176035	0.255312																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	12:00:36 PM																								
X position (cm)																									
13.000000																									
Y position (cm)																									
8.000000																									
Interferometer Positions (um)																									
1477.851375	1499.758875	1462.230375	1455.991500	1524.762000	1493.520000	1531.000875	1459.134750	1474.755750	1468.516875	1480.994625	1496.615625	1502.854500	1471.612500	1521.618750	1505.997750	1515.379875	1465.373625	1484.137875	1487.233500	1518.475500	1527.857625	1512.236625	1490.376750	1509.141000	1493.520000
Fringe Signal																									
1.233122	23.373154	0.942676	0.930904	1.457838	17.922553	0.982207	0.946359	1.044104	0.930242	1.311443	21.456090	22.997018	0.930294	1.776619	17.506583	5.337515	0.947237	2.432120	4.308395	3.363812	1.048540	7.788710	10.006866	12.974832	17.213578
Laser Intensity Signal																									
65235.196314	57537.888256	57593.698714	65177.820856	65295.485501	45774.770012	45710.952366	45905.012326	46027.489935	45667.761521	45735.683031	45739.861606	45672.322826	45476.186685	38038.652846	65228.925829	38376.070185	46013.313188	45810.812191	45958.125322	46041.375703	45876.695532	45812.780892	45851.753841	38302.656758	45937.206231
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
23.698511	0.580793	1500.413161	0.217508	8.058065	0.230826																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	12:01:23 PM																								
X position (cm)																									
26.000000																									
Y position (cm)																									
8.000000																									
Interferometer Positions (um)																									
