
																									
Interferometer Scan																									
Wednesday, June 03, 2015	10:38:28 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1438.417875	1430.321625	1462.801875	1465.516500	1449.276375	1424.892375	1473.660375	1416.748500	1476.375000	1441.132500	1427.607000	1419.463125	1414.081500	1454.705625	1460.087250	1451.991000	1422.177750	1479.042000	1443.847125	1433.036250	1470.945750	1468.231125	1435.750875	1457.372625	1446.561750	1446.561750
Fringe Signal																									
2.547824	1.394305	20.066825	13.698630	18.582049	1.240776	3.942531	1.210192	2.584250	3.863973	1.236467	1.226631	1.221616	26.654456	26.101477	23.662204	1.220371	2.056819	8.146581	1.533345	6.088347	8.244786	1.797723	29.667076	12.391106	12.434490
Laser Intensity Signal																									
46764.804014	56774.427935	56738.225848	48984.935629	49027.804037	57065.748562	48805.098291	56797.817733	56694.399304	56726.875013	48887.545201	48967.592182	56984.356782	56916.241285	49049.429606	49002.960650	56652.199363	57063.925350	49219.121971	49156.245422	48905.074770	56986.731807	56712.257864	48987.448279	56937.358295	48964.846223
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
28.270837	0.587805	1456.527882	0.180257	7.892204	0.182615																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	10:39:14 AM																								
X position (cm)																									
13.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1464.659250	1480.899375	1472.755500	1442.989875	1432.131375	1445.704500	1475.470125	1456.515375	1437.560625	1453.800750	1448.419125	1434.846000	1451.133750	1461.944625	1440.275250	1429.464375	1426.749750	1478.184750	1459.230000	1483.614000	1470.088500	1486.328625	1489.043250	1424.035125	1467.373875	1456.515375
Fringe Signal																									
22.878942	2.927134	10.068948	1.628265	1.060498	1.695044	8.847465	14.497764	1.078307	7.388823	3.499166	1.099650	4.154610	21.294541	1.131491	1.107692	1.095991	5.735232	18.654085	2.102316	14.232297	1.864832	1.592469	1.174110	19.656927	14.925974
Laser Intensity Signal																									
57872.639590	37677.972849	65166.635172	45546.133258	55687.050691	55434.697769	55701.054423	55916.211732	55587.481846	55806.673551	47592.669184	47978.361651	55798.322954	55974.833684	55577.783828	47853.896991	55315.179766	47537.140531	55447.521853	55292.025897	53771.770266	53747.019940	53516.213944	54165.535457	53774.315684	52150.926049
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
21.867560	0.676200	1463.957195	0.265378	7.850650	0.279381																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	10:40:00 AM																								
X position (cm)																									
26.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1496.472750	1463.944875	1439.560875	1458.563250	1477.518000	1442.275500	1434.179250	1493.758125	1474.803375	1469.374125	1491.043500	1436.893875	1480.185000	1455.848625	1431.464625	1482.899625	1466.659500	1461.230250	1450.419375	1485.614250	1472.088750	1444.990125	1447.704750	1453.134000	1488.328875	1463.944875
Fringe Signal																									
1.150128	11.369459	1.543525	17.383946	1.985449	2.474308	1.183657	1.133376	3.017475	5.661097	1.220096	1.303076	1.833799	16.538649	1.152080	1.444216	9.469071	15.379336	9.650000	1.398909	3.682633	3.772477	5.439963	12.740092	1.086478	11.506366
Laser Intensity Signal																									
36452.399841	46268.320317	46564.695081	67078.885212	38581.566177	46357.981430	66855.465124	56535.765484	43658.397614	54545.994220	62007.257334	43187.408732	35582.227251	43449.244713	45455.565128	65625.186632	57933.805650	45563.315487	63297.021542	45439.274189	37944.703058	65766.091653	45943.333847	65778.715197	57848.677007	45803.457741
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
16.297719	0.545284	1458.260918	0.298284	7.865244	0.313694																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	10:40:38 AM																								
X position (cm)																									
26.000000																									
Y position (cm)																									
4.000000																									
Interferometer Positions (um)																									
1436.608125	1452.848250	1474.517625	1441.989750	1444.704375	1485.328500	1450.133625	1471.803000	1463.659125	1458.277500	1431.178875	1447.419000	1477.232250	1490.757750	1482.613875	1425.749625	1433.893500	1469.088375	1439.322750	1428.464250	1466.373750	1488.043125	1479.946875	1460.992125	1455.562875	1458.277500
Fringe Signal																									
