
																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:04:32 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1544.574000	1552.717875	1528.333875	1555.432500	1550.003250	1533.763125	1547.288625	1563.528750	1579.816500	1541.859375	1525.619250	1577.101875	1568.958000	1520.190000	1531.048500	1517.523000	1566.243375	1582.483500	1539.192375	1536.477750	1522.904625	1558.147125	1560.814125	1574.387250	1571.672625	1550.003250
Fringe Signal																									
26.587612	16.133280	3.793845	11.811408	19.484924	10.720119	25.557564	3.260879	1.178772	25.731370	2.197851	1.151713	1.667713	1.469396	5.055697	1.291260	2.100934	1.154502	23.659144	16.813993	1.716428	7.547158	4.722849	1.256423	1.380846	20.346543
Laser Intensity Signal																									
39537.087611	47639.408148	47618.762998	47536.475996	39490.757591	47327.490867	57719.404626	49553.202217	37343.482348	38845.954130	39495.882506	39441.790403	47658.543350	39718.390333	39504.432333	46871.933092	47017.632727	47374.823588	46803.668173	46094.694482	46522.340475	67698.727322	67562.433413	67412.633846	67545.359974	67370.381476
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
26.539431	0.593259	1544.482062	0.214283	8.350350	0.223888																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:05:18 AM																								
X position (cm)																									
13.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1549.908000	1530.953250	1547.193375	1558.004250	1511.998500	1528.238625	1563.433500	1517.380125	1514.713125	1568.862750	1555.337250	1544.478750	1539.049500	1525.524000	1566.148125	1552.622625	1560.718875	1520.094750	1574.292000	1533.667875	1571.577375	1536.334875	1576.959000	1522.809375	1541.764125	1544.478750
Fringe Signal																									
20.503681	3.716757	24.121033	9.928247	1.335960	2.069014	4.351899	1.330469	1.257076	2.098329	11.857866	23.597067	15.791601	1.830985	2.361971	14.845384	5.899709	1.346702	1.502938	6.352076	1.700135	10.007258	1.305773	1.487624	18.640601	20.420027
Laser Intensity Signal																									
45743.582740	45691.596964	45712.872571	37751.050732	45727.106990	45365.564539	37674.655416	37759.317443	65511.288996	65339.205878	45647.365407	45521.344922	57406.702223	45454.904525	37569.627423	65516.991939	45558.436987	65210.307052	65300.404634	37853.642097	65308.997714	45585.827103	45530.839777	65354.674995	65446.572196	37759.663473
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
22.324799	0.602717	1546.518022	0.291310	8.504925	0.285816																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:06:04 AM																								
X position (cm)																									
26.000000																									
Y position (cm)																									
0.000000																									
Interferometer Positions (um)																									
1554.622875	1565.481375	1519.428000	1573.577625	1530.286500	1538.382750	1513.998750	1543.812000	1535.668125	1562.766750	1516.713375	1546.526625	1527.571875	1524.857250	1532.953500	1570.910625	1568.196000	1579.006875	1549.241250	1551.955875	1557.337500	1522.142625	1560.052125	1541.097375	1576.292250	1546.526625
Fringe Signal																									
2.161523	1.268525	3.065793	1.214119	13.849074	17.089163	1.474339	10.303498	16.247419	1.411233	2.135616	7.245703	11.332948	6.748548	16.555899	1.254564	1.216084	1.210511	4.684308	3.590505	1.845961	4.659054	1.734243	10.898080	1.213957	6.739840
Laser Intensity Signal																									
45146.190643	65180.222095	65315.201352	65141.747220	65212.368814	64948.967834	45310.326866	45273.873121	45146.418708	65222.541312	65301.902787	45143.522017	45302.163702	65479.096402	65382.805668	65236.754760	45171.771965	65035.707351	65052.095283	65121.147945	57297.785324	45242.754007	45012.254720	44882.080563	37322.720543	37241.313034
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
16.354754	0.561550	1535.385744	0.330863	8.744756	0.336011																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:06:43 AM																								
X position (cm)																									
26.000000																									
Y position (cm)																									
4.000000																									
Interferometer Positions (um)																									
1543.526250	1535.382375	1519.142250	1565.195625	1516.427625	1546.240875	1529.953125	1521.856875	1551.622500	1540.811625	1513.713000	1532.667750	1505.616750	1557.051750	1524.571500	1554.337125	1502.902125	1508.283750	1538.097000	1559.766375	1548.907875	1510.998375	1527.238500	1567.862625	1562.481000	1535.382375
Fringe Signal																									
4.253064	12.424754	6.311257	1.162224	4.271005	3.506773	17.936044	10.706427	2.010579	7.121531	3.006606	17.069088	1.386739	1.300064	13.999268	1.490361	1.218843	1.405711	11.800013	1.197631	2.258661	1.676313	14.599012	1.159885	1.118029	11.969582
Laser Intensity Signal																									
44971.828183	37023.236751	45169.839964	37127.631667	64956.815114	45365.010104	65251.155640	64752.970629	36997.959516	65176.594022	44956.691988	65054.773084	64512.668467	37077.918679	64955.205550	44848.789586	37274.088899	57015.946445	45109.301740	65105.092936	57245.635707	64832.748913	65266.024448	45056.669778	57125.344379	65008.266117
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
16.476503	0.535734	1530.074701	0.326945	8.660014	0.339463																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:07:29 AM																								
X position (cm)																									
13.000000																									
Y position (cm)																									
4.000000																									
Interferometer Positions (um)																									
1516.522875	1546.336125	1562.576250	1521.952125	1530.096000	1538.192250	1505.712000	1497.568125	1532.763000	1535.477625	1557.147000	1559.861625	1500.282750	1511.093625	1508.426625	1527.381375	1540.906875	1502.997375	1524.666750	1554.432375	1519.237500	1543.621500	1551.717750	1513.808250	1549.050750	1530.096000
Fringe Signal																									
1.279642	20.868749	2.620710	1.499983	3.962138	16.319538	1.128043	1.232135	7.136941	9.608412	6.181856	4.420062	1.159749	1.155717	1.166073	2.721213	19.749629	1.257191	1.642194	9.149416	1.222386	20.661005	13.886961	1.203428	17.523868	5.154360
Laser Intensity Signal																									
44822.944809	44836.046766	56834.283274	44806.284247	37020.946924	44788.294615	56784.136438	44890.441646	44829.334569	44981.146092	57067.743478	65001.658778	65043.477299	64611.973857	64859.918828	37079.051141	64554.536796	44813.338542	44795.991163	44740.592271	44861.755228	64661.444362	56816.933274	64636.269363	36922.167132	64886.855434
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
20.913166	0.520497	1544.461085	0.230623	8.167143	0.226623																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:08:15 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
4.000000																									
Interferometer Positions (um)																									
1552.575000	1525.524000	1576.959000	1528.191000	1544.478750	1555.289625	1568.815125	1571.529750	1511.950875	1560.718875	1517.380125	1574.244375	1549.860375	1533.620250	1558.004250	1522.809375	1541.764125	1563.433500	1547.145750	1566.148125	1536.334875	1520.094750	1514.665500	1530.905625	1539.049500	1544.478750
Fringe Signal																									
24.607650	1.527352	1.492109	1.605559	18.722961	22.104890	3.366383	2.594181	1.423856	12.012310	1.392703	1.815539	26.353466	3.415513	15.834351	1.414773	12.629777	7.187620	24.547699	4.631602	6.423087	1.335028	1.318618	2.003774	8.407206	18.223026
Laser Intensity Signal																									
40129.699512	40146.780815	48155.095204	68365.921812	60299.302666	40283.998781	48299.100078	40240.391127	48212.200653	40350.896620	48399.560212	40357.081907	48278.985769	68414.613750	48431.992668	68432.376627	48169.405645	48387.855483	68796.579840	68335.355822	40544.762593	68746.363535	60851.552256	68786.345738	60983.283548	40601.012142
Gaussian Fit																									
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																									
25.501865	0.596821	1550.741256	0.215111	8.186146	0.226562																				

																									
Interferometer Scan																									
Wednesday, June 03, 2015	11:08:54 AM																								
X position (cm)																									
0.000000																									
Y position (cm)																									
8.000000																									
Interferometer Positions (um)																									
1548.050625	1542.621375	1577.816250	1537.192125	1569.720000	1567.005375	1520.952000	1518.237375	1558.861500	1539.906750	1583.245500	1553.432250	1561.576125	1523.666625	1531.762875	1526.381250	1572.387000	1550.717625	1580.530875	1556.146875	1564.290750	1575.101625	1534.477500	1529.095875	1545.336000	1550.717625
Fringe Signal																									
