	x (cm)	y (cm)	s (um)	ds (um)
0	17.78	-6.35	45031.8443923	0.462665949161
1	15.409333	-6.35	45022.0985063	0.677405727575
2	13.038667	-6.35	45013.7431461	1.11866486218
3	10.668	-6.35	45006.6454753	0.616104197747
4	8.297333	-6.35	45000.6516415	0.459483685766
5	5.926667	-6.35	44996.4747671	0.491860744418
6	3.556	-6.35	44993.0674272	1.02003960144
7	1.185333	-6.35	44990.5964982	0.452184371505
8	-1.185333	-6.35	44989.4091167	0.445043761057
9	-3.556	-6.35	44989.6068734	0.385861982902
10	-5.926667	-6.35	44990.4772982	0.412517515858
11	-8.297333	-6.35	44993.3814992	0.408538875435
12	-10.668	-6.35	44997.3785933	0.275246741598
13	-13.038667	-6.35	45002.3403669	0.33981259154
14	-15.409333	-6.35	45008.4098766	0.352483320836
15	-17.78	-6.35	45015.2156522	0.326562641907
16	-17.78	-3.81	45017.4484512	0.354581996025
17	-15.409333	-3.81	45010.4953154	0.257398512494
18	-13.038667	-3.81	45004.4297796	0.256691364441
19	-10.668	-3.81	44998.7703812	0.354485708892
20	-8.297333	-3.81	44994.9816905	0.256135083988
21	-5.926667	-3.81	44991.7971188	0.431618275423
22	-3.556	-3.81	44990.4930096	0.277467008788
23	-1.185333	-3.81	44989.2963231	0.419512537084
24	1.185333	-3.81	44990.2383148	0.311070959596
25	3.556	-3.81	44991.5713738	0.31493296189
26	5.926667	-3.81	44994.7345537	0.415277324449
27	8.297333	-3.81	44998.5664212	0.623082114992
28	10.668	-3.81	45003.0005397	0.39984721516
29	13.038667	-3.81	45008.6537235	0.81176380624
30	15.409333	-3.81	45015.1288597	0.416595384184
31	17.78	-3.81	45022.3976822	0.69232859397
32	17.78	-1.27	45014.003779	0.664721659073
33	15.409333	-1.27	45008.4194956	0.421678281195
34	13.038667	-1.27	45003.4069712	0.621363473496
35	10.668	-1.27	44999.5039911	0.612647250541
36	8.297333	-1.27	44995.2867753	0.218973201186
37	5.926667	-1.27	44992.7246401	0.427227903897
38	3.556	-1.27	44990.686047	0.476985376225
39	1.185333	-1.27	44989.684775	0.426589938698
40	-1.185333	-1.27	44989.8666461	0.356133788946
41	-3.556	-1.27	44991.3771795	0.386908818309
42	-5.926667	-1.27	44993.6976722	0.275304610397
43	-8.297333	-1.27	44997.0776597	0.260575757917
44	-10.668	-1.27	45001.3017162	0.139245391803
45	-13.038667	-1.27	45007.0313855	0.13747101454
46	-15.409333	-1.27	45013.337792	0.107029590796
47	-17.78	-1.27	45020.3974244	0.122902911769
48	-17.78	1.27	45024.8310068	0.100144661247
49	-15.409333	1.27	45017.1825582	0.127664865903
50	-13.038667	1.27	45010.2298278	0.11403427746
51	-10.668	1.27	45004.1216232	0.109121696391
52	-8.297333	1.27	44998.7800969	0.126374411853
53	-5.926667	1.27	44994.4611995	0.354571283826
54	-3.556	1.27	44991.6728751	0.308907159161
55	-1.185333	1.27	44989.88875	0.3093616912
56	1.185333	1.27	44988.9269295	0.262679275006
57	3.556	1.27	44989.4631258	0.406601789143
58	5.926667	1.27	44990.9650699	0.257051028259
59	8.297333	1.27	44993.0317691	0.383214507904
60	10.668	1.27	44995.890716	0.323760636226
61	13.038667	1.27	44999.3778613	0.362163956552
62	15.409333	1.27	45003.0630666	0.380945693397
63	17.78	1.27	45006.7756562	0.406743726735
64	17.78	3.81	45002.9633021	0.209041996101
65	15.409333	3.81	45000.0064501	0.154490457321
66	13.038667	3.81	44996.9058979	0.179042715348
67	10.668	3.81	44994.1436266	0.174103710478
68	8.297333	3.81	44991.6541301	0.151348206683
69	5.926667	3.81	44989.7542144	0.191543485767
70	3.556	3.81	44989.172424	0.203098922399
71	1.185333	3.81	44988.9575044	0.134080325759
72	-1.185333	3.81	44990.0873965	0.14815347756
73	-3.556	3.81	44992.4236059	0.136779068178
74	-5.926667	3.81	44996.242309	0.101668963476
75	-8.297333	3.81	45001.5136786	0.10233394863
76	-10.668	3.81	45007.2813049	0.136101329346
77	-13.038667	3.81	45014.4748138	0.0990218637701
78	-15.409333	3.81	45022.2442401	0.103892459438
79	-17.78	3.81	45030.9267382	0.13466686167
80	-17.78	6.35	45036.900422	0.113845341938
81	-15.409333	6.35	45027.0001191	0.0870134542289
82	-13.038667	6.35	45018.1108488	0.10669086029
83	-10.668	6.35	45010.242007	0.0960162889847
84	-8.297333	6.35	45003.4983581	0.104387667762
85	-5.926667	6.35	44997.6091915	0.140502549594
86	-3.556	6.35	44993.1936299	0.222577534215
87	-1.185333	6.35	44990.1030776	0.115327936208
88	1.185333	6.35	44988.4512419	0.132464673342
89	3.556	6.35	44988.1814493	0.150619506244
90	5.926667	6.35	44988.936729	0.144213202944
91	8.297333	6.35	44990.4608479	0.0699188913491
92	10.668	6.35	44992.6398983	0.130922335821
93	13.038667	6.35	44994.9145221	0.13676054484
94	15.409333	6.35	44997.902043	0.126034950089
95	17.78	6.35	45001.3802407	0.197712502464
