	x (cm)	y (cm)	s (um)	ds (um)
0	17.78	-6.35	45033.5006714	0.393360542898
1	15.688235	-6.35	45024.7728647	0.281050530392
2	13.596471	-6.35	45017.3521959	0.303036808083
3	11.504706	-6.35	45011.6744021	0.44509300297
4	9.412941	-6.35	45006.5819269	0.270584413824
5	7.321176	-6.35	45002.1784471	0.245267592575
6	5.229412	-6.35	44998.8875344	0.354567348218
7	3.137647	-6.35	44996.0319249	0.384560727007
8	1.045882	-6.35	44994.4795202	0.216525602924
9	-1.045882	-6.35	44993.4155954	0.220932048911
10	-3.137647	-6.35	44993.0773779	0.253988739998
11	-5.229412	-6.35	44994.0303062	0.218445993336
12	-7.321176	-6.35	44995.8362691	0.219132918842
13	-9.412941	-6.35	44998.921969	0.170148171539
14	-11.504706	-6.35	45002.7463828	0.169979101911
15	-13.596471	-6.35	45006.8394487	0.262785288544
16	-15.688235	-6.35	45012.3390488	0.181165736676
17	-17.78	-6.35	45018.2652506	0.175121512255
18	-17.78	-3.81	45020.1509267	0.171066197716
19	-15.688235	-3.81	45014.4074826	0.235617209613
20	-13.596471	-3.81	45009.3372606	0.227693501197
21	-11.504706	-3.81	45004.6022935	0.235856681795
22	-9.412941	-3.81	45000.7493401	0.246640083106
23	-7.321176	-3.81	44997.6838986	0.151811718945
24	-5.229412	-3.81	44995.185789	0.14608698758
25	-3.137647	-3.81	44994.0685285	0.30678799811
26	-1.045882	-3.81	44993.6205273	0.251233489617
27	1.045882	-3.81	44994.1393477	0.267452040544
28	3.137647	-3.81	44995.081804	0.332852306117
29	5.229412	-3.81	44997.3523682	0.310508310829
30	7.321176	-3.81	44999.4196711	0.351471093149
31	9.412941	-3.81	45002.8287651	0.298335931106
32	11.504706	-3.81	45007.5458457	0.362825618447
33	13.596471	-3.81	45012.3460947	0.278251973582
34	15.688235	-3.81	45017.8174241	0.405346899675
35	17.78	-3.81	45024.4210095	0.353115085952
36	17.78	-1.27	45015.3633677	0.240288288813
37	15.688235	-1.27	45010.7174967	0.272530623098
38	13.596471	-1.27	45006.8464865	0.269629578514
39	11.504706	-1.27	45003.8623602	0.408480635528
40	9.412941	-1.27	45000.0517528	0.329039789153
41	7.321176	-1.27	44997.2896055	0.361932397547
42	5.229412	-1.27	44995.8746592	0.258606374841
43	3.137647	-1.27	44994.2535064	0.211625987557
44	1.045882	-1.27	44993.4689158	0.21770006784
45	-1.045882	-1.27	44993.7695123	0.193950598858
46	-3.137647	-1.27	44994.9129194	0.3221962942
47	-5.229412	-1.27	44996.8587204	0.218743472506
48	-7.321176	-1.27	44999.8962529	0.180861606393
49	-9.412941	-1.27	45002.8528011	0.238498226219
50	-11.504706	-1.27	45007.572466	0.214888186257
51	-13.596471	-1.27	45012.4816565	0.231013741238
52	-15.688235	-1.27	45018.2277442	0.144636871734
53	-17.78	-1.27	45024.1934505	0.190750082298
54	-17.78	1.27	45028.1614563	0.121402017339
55	-15.688235	1.27	45021.734932	0.204384419895
56	-13.596471	1.27	45015.6427501	0.216250391123
57	-11.504706	1.27	45009.9229527	0.181891660569
58	-9.412941	1.27	45005.2380468	0.273655487875
59	-7.321176	1.27	45000.9492295	0.266221288021
60	-5.229412	1.27	44997.5749887	0.188982249061
61	-3.137647	1.27	44995.338012	0.191878359198
62	-1.045882	1.27	44993.4939293	0.262522669941
63	1.045882	1.27	44992.941622	0.289448512677
64	3.137647	1.27	44993.522041	0.239021614904
65	5.229412	1.27	44993.651629	0.318801759937
66	7.321176	1.27	44995.6674143	0.468259528314
67	9.412941	1.27	44997.738403	0.335564845975
68	11.504706	1.27	45000.1420489	0.336584724709
69	13.596471	1.27	45003.2615198	0.232176019901
70	15.688235	1.27	45006.3533201	0.297296172675
71	17.78	1.27	45009.043229	0.340676410936
72	17.78	3.81	45005.3708246	0.254243546483
73	15.688235	3.81	45002.9993028	0.238881389627
74	13.596471	3.81	45000.2433675	0.17726593902
75	11.504706	3.81	44997.9176248	0.216217554825
76	9.412941	3.81	44995.8065165	0.116136450806
77	7.321176	3.81	44994.1205733	0.265028100199
78	5.229412	3.81	44993.0150906	0.21056951724
79	3.137647	3.81	44992.8763073	0.270992106598
80	1.045882	3.81	44992.9103575	0.172167866286
81	-1.045882	3.81	44994.2959206	0.19343469894
82	-3.137647	3.81	44996.0969563	0.184446982002
83	-5.229412	3.81	44998.8842536	0.282666579589
84	-7.321176	3.81	45003.1940316	0.245276911738
85	-9.412941	3.81	45007.5812523	0.169007818496
86	-11.504706	3.81	45013.6142051	0.232098470548
87	-13.596471	3.81	45019.5711789	0.221847395394
88	-15.688235	3.81	45026.8461808	0.153059221109
89	-17.78	3.81	45034.0188028	0.174560824116
90	-17.78	6.35	45040.1227757	0.165779619761
91	-15.688235	6.35	45031.0734255	0.146787979686
92	-13.596471	6.35	45023.4240771	0.219891705414
93	-11.504706	6.35	45016.7573706	0.270039840583
94	-9.412941	6.35	45009.9781214	0.240678503926
95	-7.321176	6.35	45004.8457429	0.186770553424
96	-5.229412	6.35	44999.9462968	0.188332708338
97	-3.137647	6.35	44996.1267602	0.185735844115
98	-1.045882	6.35	44993.3438102	0.2286077145
99	1.045882	6.35	44992.4423257	0.1805481836
100	3.137647	6.35	44991.4753851	0.192639790368
101	5.229412	6.35	44991.8925673	0.112544202478
102	7.321176	6.35	44992.9853646	0.208981835572
103	9.412941	6.35	44994.3090846	0.234214659844
104	11.504706	6.35	44996.0492934	0.171071656688
105	13.596471	6.35	44998.2509987	0.21440013241
106	15.688235	6.35	45000.4941158	0.197328690119
107	17.78	6.35	45003.5704394	0.224313325446
