	x (cm)	y (cm)	s (um)	ds (um)
0	17.4885245902	0.0	45011.5204963	0.233823202029
1	16.8858125902	0.0	45009.7797923	0.319718392589
2	16.2831005902	0.0	45009.1392264	0.231962486663
3	15.6803885902	0.0	45007.9806412	0.284790600603
4	15.0776775902	0.0	45007.0219904	0.303518061547
5	14.4749655902	0.0	45005.8185681	0.285528355126
6	13.8722535902	0.0	45004.91113	0.186107478183
7	13.2695415902	0.0	45004.0862432	0.311456039819
8	12.6668295902	0.0	45003.3836529	0.186483206936
9	12.0641175902	0.0	45002.1260653	0.276919793248
10	11.4614055902	0.0	45001.1915509	0.179297208483
11	10.8586935902	0.0	44999.9623953	0.193765303266
12	10.2559825902	0.0	44999.2058589	0.210599497519
13	9.65327059016	0.0	44998.788732	0.284484329711
14	9.05055859016	0.0	44998.1758647	0.187253412627
15	8.44784659016	0.0	44997.1757643	0.285198163934
16	7.84513459016	0.0	44995.9007414	0.20809635591
17	7.24242259016	0.0	44996.0622441	0.254861053727
18	6.63971059016	0.0	44995.0448008	0.286958421795
19	6.03699959016	0.0	44994.4869365	0.237008484675
20	5.43428759016	0.0	44994.4980919	0.409618346237
21	4.83157559016	0.0	44993.799848	0.16287452514
22	4.22886359016	0.0	44992.9833004	0.215656191608
23	3.62615159016	0.0	44992.9821939	0.229068716204
24	3.02343959016	0.0	44992.6354656	0.249757257963
25	2.42072759016	0.0	44992.519147	0.263217088013
26	1.81801659016	0.0	44991.8303603	0.29752645959
27	1.21530459016	0.0	44992.2527212	0.179189397074
28	0.612592590164	0.0	44991.8377403	0.189958175525
29	0.00988059016393	0.0	44991.9694743	0.203760962539
30	-0.592831409836	0.0	44992.2303579	0.191837641805
31	-1.19554340984	0.0	44992.2431407	0.185368965597
32	-1.79825540984	0.0	44992.9155526	0.222917596607
33	-2.40096740984	0.0	44993.0610298	0.284787852985
34	-3.00367840984	0.0	44993.1850546	0.26498043307
35	-3.60639040984	0.0	44993.8144722	0.212885474303
36	-4.20910240984	0.0	44994.5329629	0.210444591608
37	-4.81181440984	0.0	44995.3521921	0.224626215107
38	-5.41452640984	0.0	44995.7629856	0.208760719885
39	-6.01723840984	0.0	44996.4471898	0.248069494018
40	-6.61995040984	0.0	44997.7861569	0.145097613243
41	-7.22266140984	0.0	44998.1104879	0.230510734108
42	-7.82537340984	0.0	44999.2635467	0.204664747923
43	-8.42808540984	0.0	45000.4649778	0.216342569979
44	-9.03079740984	0.0	45001.3225978	0.259571781034
45	-9.63350940984	0.0	45002.3782139	0.159391055773
46	-10.2362214098	0.0	45003.9867894	0.19720200699
47	-10.8389334098	0.0	45005.0423769	0.152983078308
48	-11.4416444098	0.0	45006.5518965	0.224729888662
49	-12.0443564098	0.0	45008.1317629	0.268473989731
50	-12.6470684098	0.0	45009.5816312	0.244194874867
51	-13.2497804098	0.0	45010.7478085	0.240173061113
52	-13.8524924098	0.0	45012.6158882	0.162835820764
53	-14.4552044098	0.0	45014.5435297	0.193963218462
54	-15.0579164098	0.0	45015.9949499	0.223028648196
55	-15.6606284098	0.0	45017.7121788	0.176381461999
56	-16.2633394098	0.0	45019.5051685	0.154229777751
57	-16.8660514098	0.0	45021.1759082	0.111874308248
58	-17.4687634098	0.0	45022.9290374	0.224634297225
59	-18.0714754098	0.0	45024.9573966	0.160647207949
60	17.4885245902	0.0	45011.1873903	0.27256241306
