	x (cm)	y (cm)	s (um)	ds (um)
0	17.4885245902	0.0	45010.147412	0.227953836611
1	16.8858125902	0.0	45009.5727603	0.256043208893
2	16.2831005902	0.0	45007.920045	0.241373234878
3	15.6803885902	0.0	45007.0600295	0.264686346843
4	15.0776775902	0.0	45006.1564975	0.284165876775
5	14.4749655902	0.0	45005.0017833	0.171231515979
6	13.8722535902	0.0	45003.9511217	0.167154311437
7	13.2695415902	0.0	45003.1836984	0.214908733934
8	12.6668295902	0.0	45001.9140867	0.251319415089
9	12.0641175902	0.0	45001.1631861	0.25060494424
10	11.4614055902	0.0	44999.7384533	0.187373047343
11	10.8586935902	0.0	44998.7419124	0.234304046337
12	10.2559825902	0.0	44997.8938261	0.210454821689
13	9.65327059016	0.0	44997.4248999	0.33946295971
14	9.05055859016	0.0	44996.5050412	0.242128124195
15	8.44784659016	0.0	44995.5938615	0.211253683281
16	7.84513459016	0.0	44994.7293637	0.200852647985
17	7.24242259016	0.0	44994.1541732	0.303707145104
18	6.63971059016	0.0	44993.6206051	0.19205956503
19	6.03699959016	0.0	44993.3106196	0.189982250832
20	5.43428759016	0.0	44992.412124	0.268010662551
21	4.83157559016	0.0	44992.2006835	0.16676931916
22	4.22886359016	0.0	44991.5904277	0.212023324196
23	3.62615159016	0.0	44991.6480799	0.320437521421
24	3.02343959016	0.0	44990.9303222	0.246549328099
25	2.42072759016	0.0	44991.0450426	0.35431175989
26	1.81801659016	0.0	44990.5481589	0.20515139747
27	1.21530459016	0.0	44990.5246715	0.178834576087
28	0.612592590164	0.0	44990.2860298	0.133189775368
29	0.00988059016393	0.0	44990.6883042	0.170498046171
30	-0.592831409836	0.0	44990.5199834	0.154580829354
31	-1.19554340984	0.0	44991.2375842	0.1655243409
32	-1.79825540984	0.0	44991.1205534	0.178314132059
33	-2.40096740984	0.0	44991.4755392	0.212264130333
34	-3.00367840984	0.0	44991.62771	0.230900194252
35	-3.60639040984	0.0	44992.3718137	0.17547811075
36	-4.20910240984	0.0	44993.2108705	0.257785964619
37	-4.81181440984	0.0	44993.7165296	0.210576147008
38	-5.41452640984	0.0	44994.8252864	0.161164295453
39	-6.01723840984	0.0	44995.0963685	0.177035645513
40	-6.61995040984	0.0	44995.8236299	0.14212358906
41	-7.22266140984	0.0	44996.9414986	0.220720528105
42	-7.82537340984	0.0	44998.0599674	0.193814478195
43	-8.42808540984	0.0	44999.3025034	0.219045597738
44	-9.03079740984	0.0	45000.2184979	0.171980019838
45	-9.63350940984	0.0	45001.2406638	0.154680846475
46	-10.2362214098	0.0	45002.8008718	0.161695394245
47	-10.8389334098	0.0	45004.3613969	0.174817383817
48	-11.4416444098	0.0	45005.2363515	0.146541779722
49	-12.0443564098	0.0	45006.884632	0.119051955314
50	-12.6470684098	0.0	45008.3591048	0.18674835614
51	-13.2497804098	0.0	45010.0977519	0.162903384659
52	-13.8524924098	0.0	45011.6390408	0.175249667524
53	-14.4552044098	0.0	45013.5855753	0.169145791706
54	-15.0579164098	0.0	45015.0734068	0.176639575682
55	-15.6606284098	0.0	45016.90185	0.169791384821
56	-16.2633394098	0.0	45018.8023334	0.205854191721
57	-16.8660514098	0.0	45020.1956595	0.142072501778
58	-17.4687634098	0.0	45022.2198986	0.175076523861
59	-18.0714754098	0.0	45024.0230012	0.19005395548
60	17.4885245902	0.0	45010.0364718	0.247442038511
