time	Stem Pressure (Torr)	time	Beam Box Pressure (Torr)	time	Dump Region Pressure (Torr)
2016-02-22T16:15:27.530000	2.96e-08	2016-02-22T16:15:30.587000	7.8e-08	2016-02-22T16:15:31.570000	0.000641
2016-02-22T16:15:31.537000	2.96e-08	2016-02-22T16:15:34.600000	7.8e-08	2016-02-22T16:15:36.060000	0.000641
2016-02-22T16:15:35.540000	2.96e-08	2016-02-22T16:15:39.097000	7.8e-08	2016-02-22T16:15:40.070000	0.000641
2016-02-22T16:15:39.540000	2.96e-08	2016-02-22T16:15:43.587000	7.8e-08	2016-02-22T16:15:44.557000	0.000641
2016-02-22T16:15:44.037000	2.96e-08	2016-02-22T16:15:47.590000	7.8e-08	2016-02-22T16:15:49.057000	0.000641
2016-02-22T16:15:48.533000	2.96e-08	2016-02-22T16:15:51.600000	7.8e-08	2016-02-22T16:15:53.067000	0.000641
2016-02-22T16:15:52.537000	2.96e-08	2016-02-22T16:15:56.100000	7.8e-08	2016-02-22T16:15:57.073000	0.000641
2016-02-22T16:15:56.540000	2.96e-08	2016-02-22T16:16:00.577000	7.82e-08	2016-02-22T16:16:01.080000	0.000643
2016-02-22T16:16:01.047000	2.96e-08	2016-02-22T16:16:04.600000	7.8e-08	2016-02-22T16:16:05.577000	0.000643
2016-02-22T16:16:05.543000	2.96e-08	2016-02-22T16:16:08.600000	7.8e-08	2016-02-22T16:16:10.070000	0.000641
2016-02-22T16:16:10.040000	2.96e-08	2016-02-22T16:16:13.087000	7.8e-08	2016-02-22T16:16:14.563000	0.000643
2016-02-22T16:16:14.533000	2.96e-08	2016-02-22T16:16:17.587000	1.39e-07	2016-02-22T16:16:19.053000	0.000643
2016-02-22T16:16:18.533000	3.45e-08	2016-02-22T16:16:21.587000	1.23e-07	2016-02-22T16:16:23.067000	0.000643
2016-02-22T16:16:22.537000	3.29e-08	2016-02-22T16:16:25.590000	1.04e-07	2016-02-22T16:16:27.073000	0.000643
2016-02-22T16:16:26.540000	3.15e-08	2016-02-22T16:16:30.087000	8.42e-08	2016-02-22T16:16:31.567000	0.000641
2016-02-22T16:16:31.043000	3.01e-08	2016-02-22T16:16:34.587000	8.19e-08	2016-02-22T16:16:36.053000	0.000643
2016-02-22T16:16:35.537000	2.99e-08	2016-02-22T16:16:39.087000	8.08e-08	2016-02-22T16:16:40.067000	0.000643
2016-02-22T16:16:40.047000	2.98e-08	2016-02-22T16:16:43.100000	8.02e-08	2016-02-22T16:16:44.077000	0.000643
2016-02-22T16:16:44.540000	2.98e-08	2016-02-22T16:16:47.587000	8e-08	2016-02-22T16:16:48.570000	0.000643
2016-02-22T16:16:49.033000	2.98e-08	2016-02-22T16:16:51.587000	7.97e-08	2016-02-22T16:16:52.577000	0.000643
2016-02-22T16:16:53.033000	2.97e-08	2016-02-22T16:16:55.587000	7.93e-08	2016-02-22T16:16:57.057000	0.000643
2016-02-22T16:16:57.037000	2.97e-08	2016-02-22T16:16:59.600000	7.93e-08	2016-02-22T16:17:01.067000	0.000641
2016-02-22T16:17:01.040000	2.97e-08	2016-02-22T16:17:04.087000	7.91e-08	2016-02-22T16:17:05.077000	0.000641
2016-02-22T16:17:05.043000	2.97e-08	2016-02-22T16:17:08.577000	7.91e-08	2016-02-22T16:17:09.077000	0.000641
2016-02-22T16:17:09.050000	2.97e-08	2016-02-22T16:17:12.577000	7.9e-08	2016-02-22T16:17:13.567000	0.000641
2016-02-22T16:17:13.540000	2.97e-08	2016-02-22T16:17:16.587000	7.9e-08	2016-02-22T16:17:17.580000	0.000641
2016-02-22T16:17:17.550000	2.97e-08	2016-02-22T16:17:20.587000	7.9e-08	2016-02-22T16:17:22.057000	0.000643
2016-02-22T16:17:22.033000	2.97e-08	2016-02-22T16:17:24.590000	7.88e-08	2016-02-22T16:17:26.057000	0.000643
2016-02-22T16:17:26.037000	2.97e-08	2016-02-22T16:17:28.597000	7.88e-08	2016-02-22T16:17:30.057000	0.000643
2016-02-22T16:17:30.537000	2.98e-08	2016-02-22T16:17:33.077000	7.9e-08	2016-02-22T16:17:34.557000	0.000643
2016-02-22T16:17:34.537000	2.97e-08	2016-02-22T16:17:37.110000	7.9e-08	2016-02-22T16:17:38.570000	0.000643
2016-02-22T16:17:38.550000	2.97e-08	2016-02-22T16:17:41.577000	7.9e-08	2016-02-22T16:17:43.057000	0.000643
2016-02-22T16:17:43.033000	2.96e-08	2016-02-22T16:17:45.587000	7.9e-08	2016-02-22T16:17:47.057000	0.000643
2016-02-22T16:17:47.550000	2.96e-08	2016-02-22T16:17:50.083000	7.88e-08	2016-02-22T16:17:51.057000	0.000641
2016-02-22T16:17:52.037000	2.96e-08	2016-02-22T16:17:54.090000	7.88e-08	2016-02-22T16:17:55.057000	0.000641
2016-02-22T16:17:56.537000	2.97e-08	2016-02-22T16:17:58.590000	7.86e-08	2016-02-22T16:17:59.057000	0.000641
2016-02-22T16:18:00.537000	2.96e-08	2016-02-22T16:18:02.590000	7.88e-08	2016-02-22T16:18:03.557000	0.000641
2016-02-22T16:18:04.537000	2.96e-08	2016-02-22T16:18:07.087000	7.88e-08	2016-02-22T16:18:07.587000	0.000641
2016-02-22T16:18:08.553000	2.96e-08	2016-02-22T16:18:11.580000	7.88e-08	2016-02-22T16:18:12.057000	0.000641
2016-02-22T16:18:13.037000	2.96e-08	2016-02-22T16:18:15.587000	7.86e-08	2016-02-22T16:18:16.060000	0.000641
2016-02-22T16:18:17.533000	2.96e-08	2016-02-22T16:18:20.080000	7.86e-08	2016-02-22T16:18:20.557000	0.000641
2016-02-22T16:18:21.540000	2.96e-08	2016-02-22T16:18:24.087000	7.86e-08	2016-02-22T16:18:24.560000	0.000641
2016-02-22T16:18:26.037000	2.96e-08	2016-02-22T16:18:28.090000	7.86e-08	2016-02-22T16:18:29.060000	0.000641
2016-02-22T16:18:30.037000	2.96e-08	2016-02-22T16:18:32.590000	7.86e-08	2016-02-22T16:18:33.060000	0.000641
2016-02-22T16:18:34.037000	2.96e-08	2016-02-22T16:18:36.590000	7.86e-08	2016-02-22T16:18:37.060000	0.000641
2016-02-22T16:18:38.537000	2.96e-08	2016-02-22T16:18:41.080000	7.84e-08	2016-02-22T16:18:41.060000	0.000641
2016-02-22T16:18:42.540000	2.96e-08	2016-02-22T16:18:45.087000	7.86e-08	2016-02-22T16:18:45.060000	0.000641
2016-02-22T16:18:47.037000	2.96e-08	2016-02-22T16:18:49.097000	7.86e-08	2016-02-22T16:18:49.060000	0.000641
2016-02-22T16:18:51.040000	2.96e-08	2016-02-22T16:18:53.587000	7.84e-08	2016-02-22T16:18:53.060000	0.000641
2016-02-22T16:18:55.533000	2.96e-08	2016-02-22T16:18:58.077000	7.84e-08	2016-02-22T16:18:57.560000	0.000641
2016-02-22T16:18:59.540000	2.96e-08	2016-02-22T16:19:02.093000	7.84e-08	2016-02-22T16:19:01.560000	0.000641
