time	Stem Pressure (Torr)	time	Beam Box Pressure (Torr)	time	Dump Region Pressure (Torr)
2016-02-21T18:28:41.820000	3.46e-08	2016-02-21T18:28:40.870000	8.34e-08	2016-02-21T18:28:40.843000	3.05e-07
2016-02-21T18:28:45.827000	3.46e-08	2016-02-21T18:28:45.370000	8.33e-08	2016-02-21T18:28:44.850000	3.06e-07
2016-02-21T18:28:50.313000	3.46e-08	2016-02-21T18:28:49.370000	8.34e-08	2016-02-21T18:28:49.343000	3.05e-07
2016-02-21T18:28:54.320000	3.46e-08	2016-02-21T18:28:53.870000	8.33e-08	2016-02-21T18:28:53.350000	3.05e-07
2016-02-21T18:28:58.320000	3.46e-08	2016-02-21T18:28:57.870000	8.34e-08	2016-02-21T18:28:57.843000	3.05e-07
2016-02-21T18:29:02.323000	3.46e-08	2016-02-21T18:29:01.880000	8.34e-08	2016-02-21T18:29:01.857000	3.05e-07
2016-02-21T18:29:06.323000	3.46e-08	2016-02-21T18:29:06.370000	8.33e-08	2016-02-21T18:29:06.343000	3.05e-07
2016-02-21T18:29:10.820000	3.46e-08	2016-02-21T18:29:10.870000	8.34e-08	2016-02-21T18:29:10.850000	3.05e-07
2016-02-21T18:29:14.823000	3.46e-08	2016-02-21T18:29:14.870000	8.34e-08	2016-02-21T18:29:15.350000	3.05e-07
2016-02-21T18:29:18.823000	3.46e-08	2016-02-21T18:29:19.370000	8.34e-08	2016-02-21T18:29:19.850000	3.05e-07
2016-02-21T18:29:23.320000	3.46e-08	2016-02-21T18:29:23.370000	8.34e-08	2016-02-21T18:29:24.350000	3.05e-07
2016-02-21T18:29:27.323000	3.46e-08	2016-02-21T18:29:27.370000	8.34e-08	2016-02-21T18:29:28.847000	3.05e-07
2016-02-21T18:29:31.823000	3.46e-08	2016-02-21T18:29:31.380000	8.33e-08	2016-02-21T18:29:32.850000	3.05e-07
2016-02-21T18:29:35.827000	3.46e-08	2016-02-21T18:29:35.880000	8.34e-08	2016-02-21T18:29:37.357000	3.05e-07
2016-02-21T18:29:40.320000	3.46e-08	2016-02-21T18:29:40.370000	8.34e-08	2016-02-21T18:29:41.847000	3.05e-07
2016-02-21T18:29:44.327000	3.46e-08	2016-02-21T18:29:44.870000	8.33e-08	2016-02-21T18:29:45.850000	3.05e-07
2016-02-21T18:29:48.823000	3.45e-08	2016-02-21T18:29:48.880000	8.34e-08	2016-02-21T18:29:49.857000	3.05e-07
2016-02-21T18:29:53.317000	3.46e-08	2016-02-21T18:29:53.367000	8.34e-08	2016-02-21T18:29:53.860000	3.05e-07
